example_id,class_level,task_type,question,answer,status,reasons
NCTB-SFT-00001,6,mcq,What does education help develop?,,AUTO_PASS,
NCTB-SFT-00002,6,short_qa,Who has contributed to the book?,"Writers, editors, reviewers, illustrators and graphic designers.",AUTO_PASS,
NCTB-SFT-00003,6,passage_grounded_qa,Where does Lily go to school?,Lily goes to a school in Dhaka.,AUTO_PASS,
NCTB-SFT-00004,6,mcq,How many suitcases was the man carrying?,,AUTO_PASS,
NCTB-SFT-00005,6,short_qa,What did Shanu say to Munira?,'That’s bad luck!',AUTO_PASS,
NCTB-SFT-00006,6,short_qa,What did the young lady do while sitting on the bench?,She was reading a magazine.,AUTO_PASS,
NCTB-SFT-00007,6,short_qa,What was happening at the ticket counter?,There was a long line of people.,AUTO_PASS,
NCTB-SFT-00008,6,mcq,What were some young people doing in front of the tea stall?,,AUTO_PASS,
NCTB-SFT-00009,6,passage_grounded_qa,What were the friends doing?,Talking and watching the crowd around.,AUTO_PASS,
NCTB-SFT-00010,6,passage_grounded_qa,What were the old couple doing?,Trying to find a quiet place to sit down and rest.,AUTO_PASS,
NCTB-SFT-00011,6,passage_grounded_qa,Where was Sajjad going?,To Dhaka to his elder sister’s,AUTO_PASS,
NCTB-SFT-00012,6,mcq,What does Mary's mother do?,,AUTO_PASS,
NCTB-SFT-00013,6,mcq,What does Rashid Ahmed do?,,AUTO_PASS,
NCTB-SFT-00014,6,mcq,What dish is Baba cooking?,,AUTO_PASS,
NCTB-SFT-00015,6,short_qa,What does Imran's mother ask him to do?,go to the local market,AUTO_PASS,
NCTB-SFT-00016,6,passage_grounded_qa,What does Mila say when she comes in?,"""Hi, Mom! I'm back!""",AUTO_PASS,
NCTB-SFT-00017,6,short_qa,What is Mila's favorite dish?,'moragpolau',AUTO_PASS,
NCTB-SFT-00018,6,passage_grounded_qa,Where do elephants use their trunks and tails?,In circus rings,AUTO_PASS,
NCTB-SFT-00019,6,mcq,What did Imran ask for in terms of sugar?,,AUTO_PASS,
NCTB-SFT-00020,6,passage_grounded_qa,How long does Simon jog for?,Half an hour.,AUTO_PASS,
NCTB-SFT-00021,6,mcq,What activity does Simon play in the afternoon?,,AUTO_PASS,
NCTB-SFT-00022,6,passage_grounded_qa,What are some of the personal hygiene practices mentioned?,Wash your hands before eating; bathe regularly and wear clean clothes.,AUTO_PASS,
NCTB-SFT-00023,6,short_qa,What did you do when you had an insect bite?,Put some antiseptic on it.,AUTO_PASS,
NCTB-SFT-00024,6,mcq,What does Simon do regularly?,,AUTO_PASS,
NCTB-SFT-00025,6,short_qa,What does Simon say about Sohan's ability to play?,"No problem, Sohan. I won't play...",AUTO_PASS,
NCTB-SFT-00026,6,passage_grounded_qa,What kind of exercise is recommended?,Take part in games and sports and take physical exercise regularly.,AUTO_PASS,
NCTB-SFT-00027,6,short_qa,What proverb is mentioned in the text?,Health is Wealth.,AUTO_PASS,
NCTB-SFT-00028,6,mcq,Which of the following is essential for good health?,,AUTO_PASS,
NCTB-SFT-00029,6,short_qa,What are natural cures made of?,"Natural cures are made of natural things, most often herbs and plants.",AUTO_PASS,
NCTB-SFT-00030,6,mcq,What is recommended for headaches?,,AUTO_PASS,
NCTB-SFT-00031,6,passage_grounded_qa,What is used to relieve an aching tooth?,A pinch of pepper powder mixed with common salt,AUTO_PASS,
NCTB-SFT-00032,6,mcq,Which of these civilizations historically utilized herbal remedies?,,AUTO_PASS,
NCTB-SFT-00033,6,mcq,Approximately how many people were killed during the Liberation War?,,AUTO_PASS,
NCTB-SFT-00034,6,mcq,Shusong Durgapur is located in which district?,,AUTO_PASS,
NCTB-SFT-00035,6,passage_grounded_qa,Where does the military parade take place?,The National Parade ground,AUTO_PASS,
NCTB-SFT-00036,6,short_qa,What did the lion call his mane?,Unruly,AUTO_PASS,
NCTB-SFT-00037,6,mcq,What did the lion do to try and fix his mane?,,AUTO_PASS,
NCTB-SFT-00038,6,passage_grounded_qa,What does Mariam's aunt dislike?,Children's presence.,AUTO_PASS,
NCTB-SFT-00039,6,short_qa,What does Mrs. Nilufar Ahmed teach her son?,How to make easy snacks.,AUTO_PASS,
NCTB-SFT-00040,6,mcq,What is Mike’s job?,,AUTO_PASS,
NCTB-SFT-00041,6,mcq,What should you put on top of the bread before adding the egg?,,AUTO_PASS,
NCTB-SFT-00042,6,passage_grounded_qa,How long did it take to build the Taj Mahal?,21 years,AUTO_PASS,
NCTB-SFT-00043,6,mcq,How many songs were in Hason Udash?,,AUTO_PASS,
NCTB-SFT-00044,6,short_qa,How many steps are there to go from ground level to the first level of the Eiffel Tower?,Over 300 steps,AUTO_PASS,
NCTB-SFT-00045,6,short_qa,How tall is the Eiffel Tower?,"320 metres (1,050 ft)",AUTO_PASS,
NCTB-SFT-00046,6,mcq,What is the area of the Taj Mahal?,,AUTO_PASS,
NCTB-SFT-00047,6,mcq,What is the Taj Mahal known as?,,AUTO_PASS,
NCTB-SFT-00048,6,short_qa,What was Hason Raja’s nickname?,Crazy Hason Raja or Pagla Hason Raja,AUTO_PASS,
NCTB-SFT-00049,6,passage_grounded_qa,When was the Eiffel Tower built?,In Paris,AUTO_PASS,
NCTB-SFT-00050,6,short_qa,Where is Giza located?,"Near Cairo, the of Egypt.",AUTO_PASS,
NCTB-SFT-00051,6,passage_grounded_qa,Why did Shah Jahan build the Taj Mahal?,As a token of love for his wife,AUTO_PASS,
NCTB-SFT-00052,6,passage_grounded_qa,What are mobile phones helpful for?,Mobile phones help us greatly in our daily life.,AUTO_PASS,
NCTB-SFT-00053,6,mcq,What is a spacecraft designed to do?,,AUTO_PASS,
NCTB-SFT-00054,6,short_qa,What does Reza call Ashar?,Mr Global Citizen,AUTO_PASS,
NCTB-SFT-00055,6,short_qa,Where did Ashar go to school after Singapore?,He went to Denmark and completed his schooling there.,AUTO_PASS,
NCTB-SFT-00056,6,passage_grounded_qa,Why do these countries prefer Bangladeshi workers?,Because they are hard-working.,AUTO_PASS,
NCTB-SFT-00057,6,mcq,In what year did George Harrison receive posthumous honour from Bangladesh?,,AUTO_PASS,
NCTB-SFT-00058,6,short_qa,What did Mr. Farhad call George Harrison?,Dear!,AUTO_PASS,
NCTB-SFT-00059,6,short_qa,What did UNICEF receive from the concert?,Millions of dollars.,AUTO_PASS,
NCTB-SFT-00060,6,passage_grounded_qa,When did George Harrison receive an honour?,In 2012.,AUTO_PASS,
NCTB-SFT-00061,6,short_qa,Where was the Concert for Bangladesh held?,"At the Madison Square Garden, New York.",AUTO_PASS,
NCTB-SFT-00062,6,short_qa,Who organized the Concert for Bangladesh?,George Harrison and some other famous musicians.,AUTO_PASS,
NCTB-SFT-00063,6,passage_grounded_qa,What colour shirt does the assistant offer to show Imran?,Sky blue.,AUTO_PASS,
NCTB-SFT-00064,6,short_qa,What does Imran say about the first shirt he tries on?,It’s too big.,AUTO_PASS,
NCTB-SFT-00065,6,short_qa,What does the speaker want people to do?,Relieve the people of Bangladesh.,AUTO_PASS,
NCTB-SFT-00066,6,mcq,What size shirt does Imran initially ask for?,,AUTO_PASS,
NCTB-SFT-00067,6,mcq,What did Ms. Chowdhury tell the students to do with their books and papers?,,AUTO_PASS,
NCTB-SFT-00068,6,mcq,What did Frog advise Toad to do with his seeds?,,AUTO_PASS,
NCTB-SFT-00069,6,short_qa,What did Toad say when he put his head close to the ground?,"‘Now seeds, start growing!’",AUTO_PASS,
NCTB-SFT-00070,6,mcq,How do the people of Sankar dispose of their rubbish?,,AUTO_PASS,
NCTB-SFT-00071,6,mcq,What do farmers grow in their fields?,,AUTO_PASS,
NCTB-SFT-00072,6,short_qa,What do fishermen catch?,Fishermen catch fish from rivers and ponds.,AUTO_PASS,
NCTB-SFT-00073,6,mcq,What festivals do the villagers celebrate?,,AUTO_PASS,
NCTB-SFT-00074,6,mcq,What happens if Bulbul stops working for a few days?,,AUTO_PASS,
NCTB-SFT-00075,6,mcq,Where does Bulbul collect rubbish from?,,AUTO_PASS,
NCTB-SFT-00076,6,short_qa,What did Mamun find on the road?,A purse.,AUTO_PASS,
NCTB-SFT-00077,6,short_qa,What does Bulbul do to keep the area clean?,Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.,AUTO_PASS,
NCTB-SFT-00078,6,mcq,What does the story teach us?,,AUTO_PASS,
NCTB-SFT-00079,6,mcq,What is Nadim/Nadia asking Fahim/Fahima?,,AUTO_PASS,
NCTB-SFT-00080,6,short_qa,What is stated about fruit trees in village gardens?,There are no fruit trees in village gardens.,AUTO_PASS,
NCTB-SFT-00081,6,passage_grounded_qa,What were Nazrul Islam's interests?,"Adventures, music and jatra party.",AUTO_PASS,
NCTB-SFT-00082,7,mcq,What is the basis for the 2012 curriculum?,,AUTO_PASS,
NCTB-SFT-00083,7,mcq,What does ‘a pencil’ refer to?,,AUTO_PASS,
NCTB-SFT-00084,7,short_qa,What is ‘Excuse me’ a polite way of doing?,Drawing somebody’s attention.,AUTO_PASS,
NCTB-SFT-00085,7,mcq,What does ‘babbling’ mean?,,AUTO_PASS,
NCTB-SFT-00086,7,mcq,What is a ‘babysitter’?,,AUTO_PASS,
NCTB-SFT-00087,7,passage_grounded_qa,At what time did the function start?,4 pm,AUTO_PASS,
NCTB-SFT-00088,7,short_qa,What did Flora want to know about?,The prize-giving ceremony of Farabi’s school.,AUTO_PASS,
NCTB-SFT-00089,7,short_qa,What is Farabi’s best friend’s name?,Flora,AUTO_PASS,
NCTB-SFT-00090,7,mcq,What was decorated on the dais at the prize-giving day?,,AUTO_PASS,
NCTB-SFT-00091,7,short_qa,What did the Head Teacher call Flora?,A highly intelligent child.,AUTO_PASS,
NCTB-SFT-00092,7,short_qa,What did Farabi stop talking to his friend because of?,Something sad happened to him.,AUTO_PASS,
NCTB-SFT-00093,7,mcq,Why did Shahana’s husband want her to work in an office?,,AUTO_PASS,
NCTB-SFT-00094,7,short_qa,What did Gen Z realize about political establishments?,The ineffectiveness of political establishments.,AUTO_PASS,
NCTB-SFT-00095,7,mcq,What does ‘blessed’ mean in the context of the poem?,,AUTO_PASS,
NCTB-SFT-00096,7,mcq,What did Dr Mahmud Hasan do during the Liberation War?,,AUTO_PASS,
NCTB-SFT-00097,7,mcq,In what year did Helen Keller receive her BA degree with Honours?,,AUTO_PASS,
NCTB-SFT-00098,7,mcq,Sakhawat Memorial Girls’ High School is which type of school?,,AUTO_PASS,
NCTB-SFT-00099,7,mcq,What did Helen Keller learn at Radcliffe College?,,AUTO_PASS,
NCTB-SFT-00100,7,short_qa,What was a new technique for reading that Helen Keller learnt?,Braille.,AUTO_PASS,
NCTB-SFT-00101,7,mcq,What was the main source of income for Helen Keller’s family?,,AUTO_PASS,
NCTB-SFT-00102,7,mcq,"According to the poem, what does the poet think we have no time to do?",,AUTO_PASS,
NCTB-SFT-00103,7,mcq,How much time does Zishan spend on his studies?,,AUTO_PASS,
NCTB-SFT-00104,7,short_qa,What does ‘glued to’ mean?,giving all your attention to something,AUTO_PASS,
NCTB-SFT-00105,7,mcq,What does ‘upload’ mean?,,AUTO_PASS,
NCTB-SFT-00106,7,short_qa,What is the title of the poem?,"""A poor life this is if, full of care""",AUTO_PASS,
NCTB-SFT-00107,7,short_qa,What time does Zishan wake up?,6:30 am,AUTO_PASS,
NCTB-SFT-00108,7,passage_grounded_qa,Where do children often play football?,In the school playground,AUTO_PASS,
NCTB-SFT-00109,7,mcq,What was the name of the train?,,AUTO_PASS,
NCTB-SFT-00110,7,passage_grounded_qa,Where did Zishan and Julie sit?,By the window beside their parents.,AUTO_PASS,
NCTB-SFT-00111,7,mcq,What is a common problem experienced in Sundarpur during the summer?,,AUTO_PASS,
NCTB-SFT-00112,7,short_qa,What is the name of Kobita’s village?,The name of Kobita’s village is Sundarpur.,AUTO_PASS,
NCTB-SFT-00113,7,mcq,What organization did Paul represent?,,AUTO_PASS,
NCTB-SFT-00114,7,passage_grounded_qa,Where did Paul go on his visit?,Paul went to Sundarpur High School.,AUTO_PASS,
NCTB-SFT-00115,7,passage_grounded_qa,How long has this early summer been happening?,For the last four or five years.,AUTO_PASS,
NCTB-SFT-00116,7,short_qa,What is causing seasons to shift?,Climate change.,AUTO_PASS,
NCTB-SFT-00117,7,passage_grounded_qa,What is climbing because of climate change?,Temperatures,AUTO_PASS,
NCTB-SFT-00118,7,passage_grounded_qa,What month does summer usually start from?,April,AUTO_PASS,
NCTB-SFT-00119,7,passage_grounded_qa,What month was it when Samina and Arif felt uncomfortable?,March,AUTO_PASS,
NCTB-SFT-00120,7,mcq,What will happen if things go on like this?,,AUTO_PASS,
NCTB-SFT-00121,7,passage_grounded_qa,What are some of the effects of global warming and climate change in Bangladesh?,Adverse impacts of global warming and climate change,AUTO_PASS,
NCTB-SFT-00122,7,mcq,What does ‘go on’ mean in the sentence ‘If things go on like this...’?,,AUTO_PASS,
NCTB-SFT-00123,7,passage_grounded_qa,What event is mentioned as a disaster caused by climate change?,The damage caused by the Aila in 2009,AUTO_PASS,
NCTB-SFT-00124,7,mcq,What is a ‘prolonged cold spells’?,,AUTO_PASS,
NCTB-SFT-00125,7,short_qa,What is the estimated number of people who could become homeless due to sea-level rise?,5.5 million,AUTO_PASS,
NCTB-SFT-00126,7,passage_grounded_qa,What percentage of Bangladesh’s territory could be flooded if the sea level rises by 45 centimetres?,Almost 10.9 percent,AUTO_PASS,
NCTB-SFT-00127,7,passage_grounded_qa,What two effects of climate change are currently happening in Bangladesh?,"Summers are becoming hotter, and the monsoon is irregular.",AUTO_PASS,
NCTB-SFT-00128,7,mcq,Which of the following is a danger caused by climate change?,,AUTO_PASS,
NCTB-SFT-00129,7,short_qa,What can you do instead of using air-conditioning?,Use hand fans.,AUTO_PASS,
NCTB-SFT-00130,7,short_qa,Who sat with Helen in class and helped her by interpreting lectures?,Anne Sullivan,AUTO_PASS,
NCTB-SFT-00131,7,short_qa,What did the wise old man tell Alam?,"If you run from sunrise to sunset, all the land you cover will be yours.",AUTO_PASS,
NCTB-SFT-00132,7,short_qa,What did they stand at after weeks of climbing?,The summit,AUTO_PASS,
NCTB-SFT-00133,7,mcq,What was the height of Mount Everest?,,AUTO_PASS,
NCTB-SFT-00134,7,passage_grounded_qa,What were some of the challenges faced by Hillary and Tenzing during their climb?,"Harsh weather, freezing temperatures, and thin air.",AUTO_PASS,
NCTB-SFT-00135,7,short_qa,Who knighted Edmund Hillary?,Queen Elizabeth II,AUTO_PASS,
NCTB-SFT-00136,7,short_qa,What degree did Helen Keller earn?,A BA degree with honors.,AUTO_PASS,
NCTB-SFT-00137,7,short_qa,What did Alam learn at the end of the story?,Greed leads to destruction. Be content with what you have.,AUTO_PASS,
NCTB-SFT-00138,7,passage_grounded_qa,What is the name of the greedy farmer?,Alam,AUTO_PASS,
NCTB-SFT-00139,7,mcq,What motivated Alam’s actions?,,AUTO_PASS,
NCTB-SFT-00140,7,short_qa,What was Helen Keller’s initial disability?,"She became deaf, dumb, and blind.",AUTO_PASS,
NCTB-SFT-00141,7,mcq,What was the main reason for Hillary and Tenzing’s achievement?,,AUTO_PASS,
NCTB-SFT-00142,7,passage_grounded_qa,When did Hillary and Tenzing reach the summit of Mount Everest?,"May 29, 1953",AUTO_PASS,
NCTB-SFT-00143,8,passage_grounded_qa,For how long has the art of creating Nakshi Kantha been practiced?,Centuries,AUTO_PASS,
NCTB-SFT-00144,8,mcq,What has increased the demand for Nakshi Kantha quilts?,,AUTO_PASS,
NCTB-SFT-00145,8,mcq,What is the origin of Nakshi Kantha?,,AUTO_PASS,
NCTB-SFT-00146,8,short_qa,What kind of family did Hason Raja belong to?,A Bengali Muslim zaminder family.,AUTO_PASS,
NCTB-SFT-00147,8,passage_grounded_qa,What materials are used to create traditional Nakshi Kantha quilts?,Old or new cloth and thread are used.,AUTO_PASS,
NCTB-SFT-00148,8,mcq,Where is the museum dedicated to preserving Hason Raja's memory located?,,AUTO_PASS,
NCTB-SFT-00149,8,short_qa,Where was Hason Raja born?,"Teghoriya village of Lakshmansree Parghana, now Sunamganj.",AUTO_PASS,
NCTB-SFT-00150,8,mcq,Which region is most famous for producing Nakshi Kantha?,,AUTO_PASS,
NCTB-SFT-00151,8,mcq,Approximately how many languages are spoken in Bangladesh?,,AUTO_PASS,
NCTB-SFT-00152,8,mcq,What is Hilsha considered to be by the people of Bangladesh?,,AUTO_PASS,
NCTB-SFT-00153,8,mcq,What is the staple food of Bangladesh?,,AUTO_PASS,
NCTB-SFT-00154,8,passage_grounded_qa,Where is fish cultivated in Bangladesh?,In ponds.,AUTO_PASS,
NCTB-SFT-00155,8,short_qa,What is pitha?,"A type of cakes made from rice flour, sugar, syrup, molasses and sometimes milk.",AUTO_PASS,
NCTB-SFT-00156,8,mcq,What is the main ingredient in many Bangladeshi sweets?,,AUTO_PASS,
NCTB-SFT-00157,8,mcq,Which of the following is a common Bangladeshi sweet?,,AUTO_PASS,
NCTB-SFT-00158,8,short_qa,Butter and ghee are a good source of what?,fat,AUTO_PASS,
NCTB-SFT-00159,8,short_qa,What does a balanced diet contain?,A lot of vitamins and minerals.,AUTO_PASS,
NCTB-SFT-00160,8,mcq,What does milk contain?,,AUTO_PASS,
NCTB-SFT-00161,8,mcq,What should we do regularly to keep our body fit?,,AUTO_PASS,
NCTB-SFT-00162,8,mcq,Which food has the most carbohydrate?,,AUTO_PASS,
NCTB-SFT-00163,8,short_qa,What does ‘hygiene’ mean?,The practice of keeping ourselves clean.,AUTO_PASS,
NCTB-SFT-00164,8,passage_grounded_qa,How can we obtain safe drinking water?,By boiling and filtering.,AUTO_PASS,
NCTB-SFT-00165,8,mcq,What does the doctor advise Zahir Ali to do?,,AUTO_PASS,
NCTB-SFT-00166,8,mcq,What is important for mental health?,,AUTO_PASS,
NCTB-SFT-00167,8,short_qa,What should we do to keep the body and hair free from dirt and bacteria?,We should have a bath every day and wash our hair regularly.,AUTO_PASS,
NCTB-SFT-00168,8,passage_grounded_qa,When should you brush your teeth?,After breakfast and supper.,AUTO_PASS,
NCTB-SFT-00169,8,passage_grounded_qa,Who greets the doctor and asks about his father's condition?,Rabi.,AUTO_PASS,
NCTB-SFT-00170,8,mcq,Why should we wear socks and shoes?,,AUTO_PASS,
NCTB-SFT-00171,8,mcq,"According to Mr. Larma, what is a major benefit of regular physical exercise?",,AUTO_PASS,
NCTB-SFT-00172,8,short_qa,What bad habit did his father have?,He used to smoke heavily.,AUTO_PASS,
NCTB-SFT-00173,8,short_qa,What did Rabi’s mother and she try to do?,Stop father from smoking.,AUTO_PASS,
NCTB-SFT-00174,8,short_qa,What does Mr. Larma suggest for indoor exercises?,Freehand exercises.,AUTO_PASS,
NCTB-SFT-00175,8,mcq,What is the poisonous substance in tobacco leaves?,,AUTO_PASS,
NCTB-SFT-00176,8,short_qa,What was the doctor's diagnosis?,Lung cancer.,AUTO_PASS,
NCTB-SFT-00177,8,short_qa,What did the students decide to do?,Start working immediately.,AUTO_PASS,
NCTB-SFT-00178,8,passage_grounded_qa,What question did Ms. Saha ask?,Why is the classroom so dirty?,AUTO_PASS,
NCTB-SFT-00179,8,mcq,What should the students do according to the rules?,,AUTO_PASS,
NCTB-SFT-00180,8,passage_grounded_qa,What is the first question posed about finding information in a book?,How would you know which page to look for it? What do you do?,AUTO_PASS,
NCTB-SFT-00181,8,mcq,What is the title of the first unit?,,AUTO_PASS,
NCTB-SFT-00182,8,short_qa,What is the title of the table of contents page?,Check Your References,AUTO_PASS,
NCTB-SFT-00183,8,passage_grounded_qa,What question does the text raise regarding using just a book's title?,Does the title only give you enough information about what the book is all about?,AUTO_PASS,
NCTB-SFT-00184,8,passage_grounded_qa,How are words arranged in a dictionary?,In alphabetical order.,AUTO_PASS,
NCTB-SFT-00185,8,passage_grounded_qa,In what order do words starting with the letter 'D' appear in a dictionary?,"Dark, deep, and doctor.",AUTO_PASS,
NCTB-SFT-00186,8,short_qa,What is a dictionary?,A collection of words.,AUTO_PASS,
NCTB-SFT-00187,8,passage_grounded_qa,What should you do while completing activities related to dictionaries?,Use a dictionary or a dictionary page.,AUTO_PASS,
NCTB-SFT-00188,8,passage_grounded_qa,Where should you look to find words starting with a specific letter in a dictionary?,At the top of the page.,AUTO_PASS,
NCTB-SFT-00189,8,short_qa,What does a dictionary give us?,The meaning/meanings of a word.,AUTO_PASS,
NCTB-SFT-00190,8,short_qa,What does a word may have?,More than one meaning.,AUTO_PASS,
NCTB-SFT-00191,8,passage_grounded_qa,What does ‘dry’ mean in this sentence?,"Not wet, not damp, not sticky.",AUTO_PASS,
NCTB-SFT-00192,8,short_qa,What is an antonym?,A word that means the opposite of another word.,AUTO_PASS,
NCTB-SFT-00193,8,passage_grounded_qa,What kind of words are ‘right’ and ‘wrong’?,Antonyms,AUTO_PASS,
NCTB-SFT-00194,8,mcq,Which of the following best describes a synonym?,,AUTO_PASS,
NCTB-SFT-00195,8,mcq,What did Seryozha do with the siskin for two days?,,AUTO_PASS,
NCTB-SFT-00196,8,mcq,What did Seryozha’s mother initially say about the bird catching net?,,AUTO_PASS,
NCTB-SFT-00197,8,passage_grounded_qa,What happened when Seryozha cleaned the cage?,The siskin became frightened and beat its wings.,AUTO_PASS,
NCTB-SFT-00198,8,mcq,What kind of bird did Seryozha initially think he had caught?,,AUTO_PASS,
NCTB-SFT-00199,8,mcq,What did the bears dance to?,,AUTO_PASS,
NCTB-SFT-00200,8,short_qa,What did the bears perform?,Splendid circus tricks.,AUTO_PASS,
NCTB-SFT-00201,8,mcq,What kind of animal was a jaguar?,,AUTO_PASS,
NCTB-SFT-00202,8,mcq,What was Kodiak?,,AUTO_PASS,
NCTB-SFT-00203,8,short_qa,Where did the bears eventually populate?,The entire island.,AUTO_PASS,
NCTB-SFT-00204,8,mcq,How long after the circus incident did scientists discover the bears again?,,AUTO_PASS,
NCTB-SFT-00205,8,mcq,What did Mr. Kobayashi believe was important for children to learn?,,AUTO_PASS,
NCTB-SFT-00206,8,passage_grounded_qa,What did the headmaster ask the farmer to do?,Tell the children what to do and let’s get started.,AUTO_PASS,
NCTB-SFT-00207,8,short_qa,What feature makes the crater unique?,Its walls are chalk white and reflective.,AUTO_PASS,
NCTB-SFT-00208,8,mcq,What unusual discovery did scientists make about the descendants of the original bears?,,AUTO_PASS,
NCTB-SFT-00209,8,short_qa,Why did the bears thrive on the uninhabited island?,They found an ideal climate and environment.,AUTO_PASS,
NCTB-SFT-00210,8,passage_grounded_qa,What did the teacher say to Ta-chan when a snake almost bit him?,"""The snakes here ain't poisonous, and they won't hurt you if you don't hurt them.""",AUTO_PASS,
NCTB-SFT-00211,8,short_qa,What happened when two or three children were gathered together?,Talk would turn to the progress of their field.,AUTO_PASS,
NCTB-SFT-00212,8,passage_grounded_qa,What was true about the children despite other events happening?,They were still enfolded in the very heart of peace.,AUTO_PASS,
NCTB-SFT-00213,8,short_qa,Where were the children assembled?,Besides the Kuhonbutsu pond.,AUTO_PASS,
NCTB-SFT-00214,8,passage_grounded_qa,Who reported on the progress of the field?,Someone would visit the field and report to the head-master and the other children.,AUTO_PASS,
NCTB-SFT-00215,8,passage_grounded_qa,What carries the independent identity of their culture?,"Musical instruments, folk songs and traditional dances.",AUTO_PASS,
NCTB-SFT-00216,8,short_qa,What did the children feel while working on the field?,A sense of peace.,AUTO_PASS,
NCTB-SFT-00217,8,passage_grounded_qa,What do the designs and patterns of the clothes represent?,The pride of the richness of their cultural heritage and creativity.,AUTO_PASS,
NCTB-SFT-00218,8,short_qa,What does 'dilapidated' mean?,Something or someone causing inconvenience or annoyance.,AUTO_PASS,
NCTB-SFT-00219,8,mcq,What is one reason why ethnic communities are struggling?,,AUTO_PASS,
NCTB-SFT-00220,8,mcq,What type of attire did the new teacher wear?,,AUTO_PASS,
NCTB-SFT-00221,8,passage_grounded_qa,What does Mita do at the immigration booth?,She hands in her passport and the departure card to the officer.,AUTO_PASS,
NCTB-SFT-00222,8,short_qa,What does Mita say when the officer asks if it’s her first visit to Thailand?,Yes.,AUTO_PASS,
NCTB-SFT-00223,8,mcq,What does the officer ask Mita?,,AUTO_PASS,
NCTB-SFT-00224,8,passage_grounded_qa,What does the officer say before returning Mita’s passport?,"""Have a safe journey.""",AUTO_PASS,
NCTB-SFT-00225,8,short_qa,What is Mita’s full name?,Mita Sultana Ahmed,AUTO_PASS,
NCTB-SFT-00226,8,mcq,What is the flight number for Mita’s trip to Thailand?,,AUTO_PASS,
NCTB-SFT-00227,8,mcq,What type of visa does Mita have?,,AUTO_PASS,
NCTB-SFT-00228,8,short_qa,When does Mita’s passport expire?,8 June 2015,AUTO_PASS,
NCTB-SFT-00229,8,passage_grounded_qa,Where do Mita and her family go after completing immigration?,The passengers’ departure lounge,AUTO_PASS,
NCTB-SFT-00230,8,mcq,Where is Mita going to stay?,,AUTO_PASS,
NCTB-SFT-00231,8,short_qa,What is mentioned as a reason for not allowing liquids on board?,Security reasons.,AUTO_PASS,
NCTB-SFT-00232,8,mcq,What is the name of the airline?,,AUTO_PASS,
NCTB-SFT-00233,8,passage_grounded_qa,How long should you keep your oxygen mask on?,Until a uniformed crew member advises you to remove it.,AUTO_PASS,
NCTB-SFT-00234,8,mcq,What is prohibited on this flight?,,AUTO_PASS,
NCTB-SFT-00235,8,short_qa,What is the captain’s name?,Rashid Akbar,AUTO_PASS,
NCTB-SFT-00236,8,mcq,What position should you assume in the event of an emergency?,,AUTO_PASS,
NCTB-SFT-00237,8,short_qa,What should you do to inflate the vest?,Pull firmly on the red cord.,AUTO_PASS,
NCTB-SFT-00238,8,short_qa,What temperature is it in Bangkok?,32 degree Celsius,AUTO_PASS,
NCTB-SFT-00239,8,passage_grounded_qa,What will passengers be able to see if the weather is good?,A great view of the city,AUTO_PASS,
NCTB-SFT-00240,8,mcq,What will the cabin crew offer passengers?,,AUTO_PASS,
NCTB-SFT-00241,8,short_qa,Where is the life vest located?,In a pouch under your seat or between the armrests.,AUTO_PASS,
NCTB-SFT-00242,8,short_qa,How long did it take to reach their destination?,About one and a half hours.,AUTO_PASS,
NCTB-SFT-00243,8,mcq,How often did the trade take place at the Tha Kha floating market?,,AUTO_PASS,
NCTB-SFT-00244,8,short_qa,What did Mita read about?,The floating market.,AUTO_PASS,
NCTB-SFT-00245,8,mcq,What were the sellers displaying for sale?,,AUTO_PASS,
NCTB-SFT-00246,8,mcq,Approximately how much money does the bedey woman earn per month?,,AUTO_PASS,
NCTB-SFT-00247,8,mcq,Approximately what percentage of gypsy children receive primary education?,,AUTO_PASS,
NCTB-SFT-00248,8,passage_grounded_qa,For how long has the bedey woman been living in this camp?,Four months,AUTO_PASS,
NCTB-SFT-00249,8,passage_grounded_qa,How does the bedey woman heal people?,With traditional herbs and healing art.,AUTO_PASS,
NCTB-SFT-00250,8,short_qa,What is a river gypsy?,River gypsies are among the nation’s groups.,AUTO_PASS,
NCTB-SFT-00251,8,short_qa,What is Jihan studying?,Sociology,AUTO_PASS,
NCTB-SFT-00252,8,mcq,What is the government offering to river gypsies?,,AUTO_PASS,
