book_id,class_level,page_number,word_count,reasons,text_preview,decision,reviewer_notes
class6-english,6,1,0,empty_text,,,
class6-english,6,3,57,possible_front_matter,"69-70, Motijheel Commercial Area, Dhaka [All rights reserved by the Publisher] First edition written and edited by AMM Hamidur Rahman Zulfeqar Haider Surajit Roy Majumder First Publication : September 2012 Revised Edition : September 2014 Revised Edition : November 2020 Revised Edition : October 2025 For Free Distribution by the Government of the People’s Republic of Bangladesh",,
class6-english,6,5,242,unicode_replacement_character,Lesson- | Going to a New School l Lesson- 2 Congratulations! Well Done! 4 Lesson- 3 Ata Railway Station 7 Lesson- 4 Where are You From? 9 Lesson- 5 Thanks for Your Work 13 Lesson- 6 | It Smells Good! 17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?-1 37 Lesson- 12 | AnUnseen ,,
class6-english,6,8,117,unicode_replacement_character,"English For Today 3 B2. Match a word from Column A with a word (or words) from Column B that has (or have) similar meaning. Column A Column B interesting lovingly frightened amusing warmly thrilled B3. Talk about your first day at school and how you felt-happy, frightened, thrilled or shy. Work in groups. B4. Now, write a paragraph on how you felt on your first day at school and why you felt so. -",,
class6-english,6,9,145,unicode_replacement_character,Congratulations! Well Done ! © ask and answer questions © read and understand written instructions ® participate in short dialogues and conversations on familiar topics We often use some routine expressions in our everyday conversations. which we can respond to good or bad news. Lily goes to a school in Dhaka and her parents live in a small town in Tangail district. Lily is talking to her father o,,
class6-english,6,10,187,unicode_replacement_character,"English For Today 5 Rahul lam happy. I just heard that my new album of Lalon's songs has been a hit! Nina Oh, great! Congratulations! Rahul Thanks, Nina. I can't tell you how happy Tam! Manzoor is a student of class six in a Sovernment high school in Rajbari. Recently there was an inter-school essay competition on the occasion of our Independence Day. Manzoor had participated and got a prize. Raj ",,
class6-english,6,11,241,unicode_replacement_character,"6 English For Today Let's now see what we say when we hear about something not good or not happy. Read the following dialogues. Bobby Hi, Sujan! Why didn’t you come to school last week? Sujan I had the flu. I was in bed most of the time. Bobby Oh, I'm sorry to hear that. How do you feel now? Shakil Hello, Manik! Why are you so quiet today? Manik Did you see that pen my father gave me? I've lost it",,
class6-english,6,14,165,unicode_replacement_character,"Lesson 4 Where are You From? ® recognise words and stress on words in sentences © ask and answer questions It is natural that when two persons meet they would engage in a_ conversation. They may want to know where the other comes from, or what the other person does and so on. Here are some conversations in such everyday situations. class friends. Mamun and his friend Akash have gone to a book fair",,
class6-english,6,15,179,unicode_replacement_character,"Sometimes the same questions can be asked in a different way. Here is a conversation between an immigration officer and a passenger at the Shahjalal International Airport, Dhaka. Listen to the conversation first and then practise it with a partner. Your name, Sir? Where do you come from, Mr. Smith? And where are you coming from now? I'm coming from London. Welcome to Bangladesh, Sir. Have a nice s",,
class6-english,6,16,181,unicode_replacement_character,"English For Today 11 Joy asks Sajed do you come from, Sajed?""’ What could Joy ask him instead? Mamun and Akash are talking about Mamun's cousin Ruma. Listen to and practise the conversation in pairs. Akash What does your cousin do, Mamun? Mamun She is an architect. She mostly designs offices and shopping Akash What is she doing at Mamun Well, at the moment she is designing something different. She",,
class6-english,6,17,142,unicode_replacement_character,"Language Focus Notice that sometimes the answer to ""Where do you come from?"" or ""Where are you from?"" is the name of the country one belongs to. But when both the speakers are from the same country, the question would obviously mean what part of the country one belongs to. doing?” do vou do?' means the same as ‘What's your profession?’ On the other hand, are you doing' refers to what you are doing",,
class6-english,6,19,201,unicode_replacement_character,"Al. Choose appropriate words from the box to complete the dialogue below. Then act out the dialogue in pairs. letters restaurant streets place morning A What does a cleaner do? B A cleaner cleans our houses, office and ete. : What does a newspaper hawker do? B A hawker gives us newspapers every What does a postman do? B A postman delivers ............. and other items to us. What does a do? B A ri",,
class6-english,6,20,214,unicode_replacement_character,"English For Today 15 Last month Bulbul was sick for two days. So, he could not come to collect the rubbish. The people of Sankar were in great trouble. They got piles of waiting in front of their houses. The whole area became dirty and unhygienic. When Bulbul got well, he came back to Sankar. He collected everything from all the bins. Bulbul does not want to fall sick again. He realises, if he sto",,
class6-english,6,22,158,unicode_replacement_character,Lesson 6 It Smells Good! ask and answer questions ® participate in short dialogues and conversations on familiar topics Read the passage and the dialogue below: It's Saturday. Mila's school is open. But Friday and Saturday are father's weekly holidays. Father sometimes loves to cook special dishes for everybody on Saturdays. It's 2 o'clock - time for Mila to come back from school. Mother is settin,,
class6-english,6,23,195,unicode_replacement_character,"Al. Work with a partner. Ask and answer the following questions. a, What's your favourite food? Where do you usually have it? Who prepares it? How does it taste? use proper stress and intonation (up and down movement of your voice), with their correct forms. smell see look know like want a.l him very well. The new dress great! Rina to collect stamps. Tecan a butterfly near the flowers. e. The flow",,
class6-english,6,25,93,unicode_replacement_character,"Look at the following words. Each word has more than one meaning. The meaning in which a word has been used in the poem is given. Can you think of any other meaning or meanings? Trunk The long nose of an elephant Ring : A round confined area in which animals or people perform or compete. There are seats around the outside of the ring for the For example : a circus ring or a boxing ring. Now, match",,
class6-english,6,26,158,unicode_replacement_character,Lesson 8 Grocery Shopping usc word stress and stress on words in sentences and answer questions © participate in short dialogues and conversations on familiar topics read and understand texts . Some guests will visit Imran's house tonight. So Imran's mother will cook dinner for them. She asks Imran to go to the local market. He often forgets to buy the necessary items. So his mother is making a sh,,
class6-english,6,27,103,unicode_replacement_character,": There are only three eggs. Maybe I'll buy a dozen more? : Humm..... oh, yes.... get some sugar and milk and one litre of oil, : OK. One litre of milk and.... one kg. of sugar. : One more thing, dear. You are forgetting your list! Here it is. : Oh! Thanks, Maa. You have read the conversation above. Now, put a tick mark against the items that Imran will buy and put a cross mark (X) against the ite",,
class6-english,6,28,182,unicode_replacement_character,"Salesperson Hello, how can I help you? Imran Do you have any beans? Salesperson Yes, we do. How much would you like? Imran I would like half kg. And I'll also need one kg. of tomatoes, two kg.of potatoes, two cauliflowers, a dozen of eggs and some salt. Salesperson Do you need oil, sir? Imran Yes, I need a litre of oil. Salesperson Do you need anything else? Tmran Umm..... let me check. (looks at ",,
class6-english,6,29,109,unicode_replacement_character,"24 English For Today B1. Discuss the following questions in pairs. How many items did Imarn buy? What varieties of vagetables were available in the market? Why do you think Imarn asked the salesman to use a paper bag? Discuss with your class friends and then write down one or two reasons. ""Thank you, here is the change,..."". What does the word ‘change’ B2. Read the sentences/phrases in the eight s",,
class6-english,6,30,111,unicode_replacement_character,English For Today 25 Match the phrases in column A and the items in column B below to make an imaginary shopping list. Write down the list in your notebook. (One phrase may match more than one items.) acanof poster paper a packet paint half a kilo of.......... cake ajar Of notebook a sheet of pencils Look at your shopping list again. Can you say which items are available in what kind of shops? The,,
class6-english,6,31,146,unicode_replacement_character,"26 English For Today Workin groups. Create a mini market in the classroom. Put some signs like the Baker's, the Grocer's, the Stationer's, etc. Some of you play the roles of shop assistants and some others will be customers. Now, the customers move round the room from one shop to the other asking the prices of the items shown in the pictures below. Use the following model: A shopping day: A Have y",,
