example_id,task,book_id,class_level,page_number,question,options,answer,evidence_quote,review_decision,reviewer,notes
class6-english-page-0005-generate_mcq-v2,generate_mcq,class6-english,6,5,"According to the lesson list, which activity involves learning about traditional remedies?","[""Grocery Shopping"", ""Holding Hands"", ""Remedies: Modern and Traditional"", ""An Unseen Beauty of Bangladesh""]",Remedies: Modern and Traditional,17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?,,,
class6-english-page-0005-short_extractive_qa-v2,short_extractive_qa,class6-english,6,5,What is one of the lessons about health?,[],Health is Wealth,17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?,,,
class6-english-page-0011-short_extractive_qa-v2,short_extractive_qa,class6-english,6,11,What would you say to somebody who has been ill?,[],I'm sorry to hear that.,"Bobby Oh, I'm sorry to hear that. How do you feel now?",,,
class6-english-page-0012-generate_mcq-v2,generate_mcq,class6-english,6,12,"According to the text, what was the woman in the queue doing?","[""Holding her child's hand tightly"", ""Talking loudly with a group of young people"", ""Reading a magazine on a bench"", ""Trying to carry three heavy suitcases""]",Holding her child's hand tightly,She was holding her child's hand tightly.,,,
class6-english-page-0012-short_extractive_qa-v2,short_extractive_qa,class6-english,6,12,What was Sajjad going to Dhaka to see?,[],his elder sister's,Sajjad was going to Dhaka to his elder sister's It was very crowded in the station.,,,
class6-english-page-0014-generate_mcq-v2,generate_mcq,class6-english,6,14,"In the conversation between Akash and James, where does James say he is from?","[""America"", ""England"", ""Bangladesh"", ""Italy""]",England,James I'm from England.,,,
class6-english-page-0014-short_extractive_qa-v2,short_extractive_qa,class6-english,6,14,Where is James from?,[],I'm from England.,James I'm from England. to somebody.,,,
class6-english-page-0015-generate_mcq-v2,generate_mcq,class6-english,6,15,Why did the immigration officer ask Joy ‘Where do you come from?’ a second time?,"[""To check Joy’s passport."", ""Because Joy was a new student."", ""And where are you coming from now?"", ""To see if Joy remembered his name.""]",And where are you coming from now?,And where are you coming from now? I'm coming from London.,,,
class6-english-page-0015-short_extractive_qa-v2,short_extractive_qa,class6-english,6,15,Why does the immigration officer ask the passenger 'And where are you coming from now?',[],the first day in the new class after the annual exam.,the first day in the new class after the annual exam. The boy sitting next to Joy is a new student.,,,
class6-english-page-0016-generate_mcq-v2,generate_mcq,class6-english,6,16,What is Mamun designing at the moment?,"[""offices and shopping centres"", ""a school building on the outskirts of Dhaka"", ""a story book"", ""the Town Hall Library""]",a school building on the outskirts of Dhaka,She is designing a school building on the outskirts of Dhaka.,,,
class6-english-page-0016-short_extractive_qa-v2,short_extractive_qa,class6-english,6,16,What is she designing at the moment?,[],She is designing a school building on the outskirts of Dhaka.,She is designing a school building on the outskirts of Dhaka. Mary and her mother are sitting in their living room.,,,
class6-english-page-0017-short_extractive_qa-v2,short_extractive_qa,class6-english,6,17,What is his/her name?,[],"Rashid Ahmed, Doctor Sumana Chowdhury, Lawyer","He is not seeing a patient) Rashid Ahmed, Doctor Sumana Chowdhury, Lawyer",,,
class6-english-page-0037-generate_mcq-v2,generate_mcq,class6-english,6,37,"According to Simon, how long does he usually jog every day?","[""for half an hour"", ""every afternoon"", ""once a week"", ""pretty well""]",for half an hour,I get up early in the morning and do jogging for half an hour.,,,
class6-english-page-0037-short_extractive_qa-v2,short_extractive_qa,class6-english,6,37,How many times a week does Simon do yoga?,[],"Once a week, I do yoga.","Once a week, I do yoga. Now, write about what you usually do or would like to do to keep Write a short paragraph on the rules of good health.",,,
class6-english-page-0043-generate_mcq-v2,generate_mcq,class6-english,6,43,Where did Sam have lunch yesterday?,"[""the bus station"", ""the book store"", ""the canteen"", ""her room-mate’s place""]",the canteen,[lost both at the canteen where I.,,,
class6-english-page-0049-generate_mcq-v2,generate_mcq,class6-english,6,49,Why did people go to the mass graveyards?,"[""To play games with their friends."", ""To pay to the Liberation War martyrs."", ""To visit a museum."", ""To buy souvenirs.""]",To pay to the Liberation War martyrs.,Everybody went there to pay to the Liberation War martyrs. We were in a long queue.,,,
class6-english-page-0049-short_extractive_qa-v2,short_extractive_qa,class6-english,6,49,What did you and your family do at the mausoleum?,[],We wreaths of flowers before the mausoleum.,We wreaths of flowers before the mausoleum. My parents took me to the mass graveyards.,,,
class6-english-page-0061-generate_mcq-v2,generate_mcq,class6-english,6,61,"According to the instructions, what should you do first when making an egg sandwich?","[""Spread the butter thinly on one side of each slice."", ""Put a slice of cheese on the buttered side of the bread."", ""Take two slices of bread."", ""Arrange slices of cucumber and one tomato on the egg.""]",Take two slices of bread.,"List of ingredients: Two slices of bread Cucumber- 2/3 slices Tomato- 1/2 slices Butter or mayonnaise Egg (boiled/fried) One slice of cheese How to make it: First, take two slices of bread. Spread the butter thinly on one side of each slice.",,,
class6-english-page-0061-short_extractive_qa-v2,short_extractive_qa,class6-english,6,61,What does Mrs. Nilufar Ahmed spread thinly on one side of each slice?,[],the butter thinly on one side of each slice,Spread the butter thinly on one side of each slice.,,,
class6-english-page-0063-short_extractive_qa-v2,short_extractive_qa,class6-english,6,63,What do you need to add to the bowl when making an omelette?,[],Break the eggs of water and just a little the bowl.,Break the eggs of water and just a little the bowl. Add slices of and ~ well.,,,
class6-english-page-0066-short_extractive_qa-v2,short_extractive_qa,class6-english,6,66,When was Hason Raja born?,[],Hason Raja was born in 1854,"Read the following text: Hason Raja was born in 1854, into a wealthy landlord family in Sylhet.",,,
class6-english-page-0067-short_extractive_qa-v2,short_extractive_qa,class6-english,6,67,What was the other name by which Hason Raja was known?,[],"‘Crazy Hason Raja’, or ‘Pagla Hason Raja’","In his songs, he called himself ‘Crazy Hason Raja’, or ‘Pagla Hason Raja’.",,,
class6-english-page-0075-generate_mcq-v2,generate_mcq,class6-english,6,75,"According to Marshal McLuhan, what has created a sense of connection between people around the world?","[""The telephone"", ""TV and electronic media"", ""Personal computers"", ""The Internet” 2062""]",TV and electronic media,"In his books he said that telephone, TV and electronic media have brought all mankind close to one another.",,,
class6-english-page-0075-short_extractive_qa-v2,short_extractive_qa,class6-english,6,75,McLuhan believed that electronic media would make the world a global village.,[],electronic............. would make the world a global village.,"McLuhan believed that electronic............. would make the world a global village. When he first said about the idea of global village, the Internet was not invented.",,,
class6-english-page-0077-generate_mcq-v2,generate_mcq,class6-english,6,77,"According to the text, what is one interesting place to visit in Cairo?","[""The Dhaka National Museum"", ""The Cairo Museum"", ""Sohan's hospital in Egypt"", ""Port Suez""]",The Cairo Museum,"Well, you can visit the Cairo Museum and you should see the mummies.",,,
class6-english-page-0077-short_extractive_qa-v2,short_extractive_qa,class6-english,6,77,What should you see there?,[],You can visit the Cairo Museum and you should see the mummies.,"Well, you can visit the Cairo Museum and you should see the mummies. And you mustn't leave Cairo without visiting Anything else?",,,
class6-english-page-0087-generate_mcq-v2,generate_mcq,class6-english,6,87,Imran wants a shirt that is formal. Which shirt did his mother think was good?,"[""This shirt has nice prints!"", ""The shirt with stripes"", ""This shirt with checks"", ""A red top""]",This shirt with checks,Look at this shirt with checks.,,,
class6-english-page-0087-short_extractive_qa-v2,short_extractive_qa,class6-english,6,87,What does Imran say he wants when looking for a shirt?,[],I want something more formal.,I want something more formal. Mrs.,,,
class6-english-page-0088-short_extractive_qa-v2,short_extractive_qa,class6-english,6,88,What did Thad dream of doing in the poem?,[],Thad to pick a mother out.,I dreamed Thad to pick a mother out. I had to choose a father too.,,,
class6-english-page-0091-generate_mcq-v2,generate_mcq,class6-english,6,91,Ms. Shima Chowdhury tells the students not to do what with their question papers?,"[""e. with others"", ""f. with others"", ""g. You out before one hour is over"", ""Be quiet, please! Do not make any noise.""]",g. You out before one hour is over,g. You out before one hour is over.,,,
class6-english-page-0091-short_extractive_qa-v2,short_extractive_qa,class6-english,6,91,What did Ms. Shima Chowdhury tell the students not to do with the questions?,[],g. You out before one hour is over.,g. You out before one hour is over.,,,
class6-english-page-0093-short_extractive_qa-v2,short_extractive_qa,class6-english,6,93,Where did Bahar suggest they could go for a two day trip?,[],A two day trip to Kuakata!,A two day trip to Kuakata! That sounds interesting!,,,
class6-english-page-0105-generate_mcq-v2,generate_mcq,class6-english,6,105,"According to the passage, what does a full stop (.) primarily indicate?","[""A comma in a sentence."", ""An exclamation of surprise."", ""That the sentence has ended."", ""A question being asked.""]",That the sentence has ended.,") — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence.",,,
class6-english-page-0105-short_extractive_qa-v2,short_extractive_qa,class6-english,6,105,What does the full stop show that the sentence has ended?,[],This shows that the sentence has ended.,") — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence.",,,
class6-english-page-0109-generate_mcq-v2,generate_mcq,class6-english,6,109,"According to the passage, what do people in villages celebrate?","[""Pahela Boishakh and Nabanna"", ""Cricket matches and picnics"", ""Birthday parties and weddings"", ""School exams and sports day""]",Pahela Boishakh and Nabanna,"e) People in villages celebrate festivals like Pahela Boishakh and Nabanna Write a summary of the passage in your own words, 10 Match the parts of sentences from the Columns A and B to make five complete sentences.",,,
class6-english-page-0111-short_extractive_qa-v2,short_extractive_qa,class6-english,6,111,What does Bulbul do every morning to keep the area clean?,[],Bulbul wakes up early in the morning to collect rubbish from the Sankar area,Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.,,,
class6-english-page-0112-generate_mcq-v2,generate_mcq,class6-english,6,112,"According to the passage, what do most villagers in Rural Bangladesh work as?","[""Doctors and teachers"", ""Farmers, fishermen, or craftsmen"", ""Engineers and builders"", ""Shopkeepers and traders""]","Farmers, fishermen, or craftsmen","Most villagers work as farmers, fishermen, or craftsmen.",,,
class6-english-page-0112-short_extractive_qa-v2,short_extractive_qa,class6-english,6,112,What do most villagers in rural Bangladesh work as?,[],"Most villagers work as farmers, fishermen, or craftsmen.","Most villagers work as farmers, fishermen, or craftsmen. They grow crops like rice, jute and vegetables.",,,
class7-english-page-0008-generate_mcq-v2,generate_mcq,class7-english,7,8,Fahim asks Tamim for his pen. What does Tamim say?,"[""Yes, of course, you can."", ""Sorry, I didn’t notice that."", ""Could you please help me with my maths?"", ""I need to read it tonight.""]","Yes, of course, you can.","Tamim: Yes, of course, you can. Here it is.",,,
class7-english-page-0008-short_extractive_qa-v2,short_extractive_qa,class7-english,7,8,What does Fahim ask Tamim to do?,[],"Can I borrow your pen, please?","Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can.",,,
class7-english-page-0014-short_extractive_qa-v2,short_extractive_qa,class7-english,7,14,Where are the passengers asked to wait to get on the train?,[],Where are the passengers asked to wait to get on the train?,Where are the passengers asked to wait to get on the train? What are the passengers asked to do to get to the platform?,,,
class7-english-page-0023-generate_mcq-v2,generate_mcq,class7-english,7,23,What was the location of the prize-giving function?,"[""In the school auditorium."", ""Read out the annual report."", ""Brightly decorated."", ""At the stage.""]",In the school auditorium.,In the school auditorium. What WaS | the auditorium decorated?,,,
class7-english-page-0023-short_extractive_qa-v2,short_extractive_qa,class7-english,7,23,Where did the prize-giving function held?,[],In the school auditorium.,In the school auditorium. What WaS | the auditorium decorated?,,,
class7-english-page-0025-generate_mcq-v2,generate_mcq,class7-english,7,25,"According to the passage, Flora started school at what age?","[""5"", ""6"", ""7"", ""8""]",6,3 Flora first went to school at the age of 6.,,,
class7-english-page-0025-short_extractive_qa-v2,short_extractive_qa,class7-english,7,25,When did Flora start going to school?,[],Flora first went to school at the age of 6.,3 Flora first went to school at the age of 6. 4 Her mother dressed her in her best clothes.,,,
class7-english-page-0027-short_extractive_qa-v2,short_extractive_qa,class7-english,7,27,Who took Flora to the class after admission?,[],the Head Teacher,The Head Teacher was pleased with Flora because she (Flora) looked very innocent.,,,
class7-english-page-0041-generate_mcq-v2,generate_mcq,class7-english,7,41,"According to Ms. Shahana Huda, what is one benefit of this new kind of shop?","[""You can bargain or haggle with the shopkeeper."", ""You can buy any stationery items like pens and pencils."", ""You don’t have to bargain or haggle with the shopkeeper over the prices of anything."", ""The shop sells only food items such as biscuits and bananas.""]",You don’t have to bargain or haggle with the shopkeeper over the prices of anything.,You don’t have to bargain or haggle with the shopkeeper over the prices of anything. Hridoy What is ‘haggle’ teacher?,,,
class7-english-page-0041-short_extractive_qa-v2,short_extractive_qa,class7-english,7,41,What is ‘haggle’ teacher?,[],You offer 200 taka or even less.,So you offer 200 taka or even less. The,,,
class7-english-page-0044-short_extractive_qa-v2,short_extractive_qa,class7-english,7,44,What do Mrs Nazma and Mr Joynul Ali do from morning to night?,[],"Nazma does all the work at home from morning to night, rain or shine.","Nazma does all the work at home from morning to night, rain or shine. Sometimes she sits with Mitu and Nitu, and teaches them Bangla and English alphabets and some numbers.",,,
class7-english-page-0054-generate_mcq-v2,generate_mcq,class7-english,7,54,Begum Rokeya believed that women should have the same rights and opportunities as men. What did she do to support this belief?,"[""She taught Arabic and Persian in schools."", ""She fought for their cause throughout her life."", ""She worked as a Deputy Magistrate."", ""She was born in a village called Pairabondh, Rangpur.""]",She fought for their cause throughout her life.,"So she fought for their cause throughout her life. Begum Rokeya was born in a village called Pairabondh, Rangpur in 1880.",,,
class7-english-page-0054-short_extractive_qa-v2,short_extractive_qa,class7-english,7,54,What did Begum Rokeya believe women should have?,[],She believed that women should have the same rights and opportunities as men have in the society.,She believed that women should have the same rights and opportunities as men have in the society. So she fought for their cause throughout her life.,,,
class7-english-page-0059-generate_mcq-v2,generate_mcq,class7-english,7,59,Florence Nightingale worked with a group of nurses during which major conflict?,"[""The American Civil War"", ""The Napoleonic Wars"", ""The Crimean War (1853-56)"", ""World War I""]",The Crimean War (1853-56),on hospital ¢ Went to Turkey with a group of 38 nurses to work for the sick British soldiers during the Crimean War (1853-56) ¢ Worked day and night to help the wounded ¢ Returned to England: the Lady with the Lamp by the Times - role in nursing ¢ Set up Nightingale School for nurses in London Died-13 Au,,,
class7-english-page-0059-short_extractive_qa-v2,short_extractive_qa,class7-english,7,59,What was Florence Nightingale's famous nickname?,[],the Lady with the Lamp,during the Crimean War (1853-56) ¢ Worked day and night to help the wounded ¢ Returned to England: the Lady with the Lamp by the Times - role in nursing ¢ Set up Nightingale School for nurses in London Died-13 August 1910,,,
class7-english-page-0062-short_extractive_qa-v2,short_extractive_qa,class7-english,7,62,"What is this life if, full of care?",[],"This life if, full of care","What is this life if, full of care, We have no time to stand and stare.",,,
class7-english-page-0063-generate_mcq-v2,generate_mcq,class7-english,7,63,"According to the text, what do some children do besides playing games?","[""They play football in the school playground."", ""They throw stones into squares and hop along them."", ""Some also share personal updates on Facebook by uploading posts and pictures."", ""Young children play this game on the ground.""]",Some also share personal updates on Facebook by uploading posts and pictures.,"Some also share personal updates on Facebook by uploading posts and pictures. 3, Children often watch football matches of both national and international 4, Children often play football in the school playground.",,,
class7-english-page-0063-short_extractive_qa-v2,short_extractive_qa,class7-english,7,63,What do some children often do when they are glued to computers?,[],They download games to play on them.,They download games to play on them. Some also share personal updates on Facebook by uploading posts and pictures.,,,
class7-english-page-0064-generate_mcq-v2,generate_mcq,class7-english,7,64,"According to the passage, which activity can take place both in cities and villages?","[""studying for exams"", ""listening to music"", ""going on a picnic with family or friends"", ""attending music lessons""]",going on a picnic with family or friends,© studying for exams e listening to music ¢ visiting relatives on weekends ¢ attending music lessons reading story books ® going to movies helping parents with housework ¢ going on a picnic with family or friends e walking in the park on holidays Write answers to these questions.,,,
class7-english-page-0064-short_extractive_qa-v2,short_extractive_qa,class7-english,7,64,Which activities mainly take place in cities and which activities mainly take place in villages?,[],Which activities mainly take place in cities and which activities mainly take place in villages?,Unit Six: Leisure 59 Which activities mainly take place in cities and which activities mainly take place in villages? Also say which activity or activities can take place both in cities and villages.,,,
class7-english-page-0069-generate_mcq-v2,generate_mcq,class7-english,7,69,What did Shima win a first prize for?,"[""The 200 metre sprint"", ""A Bhawaiya song"", ""100 metre sprint"", ""A football match""]",100 metre sprint,Shima also told them how she won the first prize for 100 metre sprint in her school annual sports.,,,
class7-english-page-0069-short_extractive_qa-v2,short_extractive_qa,class7-english,7,69,What did Shima tell them she had won?,[],the first prize for 100 metre sprint,Shima also told them how she won the first prize for 100 metre sprint in her school annual sports.,,,
class7-english-page-0070-short_extractive_qa-v2,short_extractive_qa,class7-english,7,70,What did the children do every afternoon?,[],The children used to go and play in the Giant's garden.,"The Selfish Giant Every afternoon, as they were coming from school, the children used to go and play in the Giant's garden. Tt was a large lovely garden, with soft green grass.",,,
class7-english-page-0071-generate_mcq-v2,generate_mcq,class7-english,7,71,Why did the Giant build a high wall around his garden?,"[""Because he wanted the children to play in it."", ""Because he was afraid of losing his garden."", ""My own garden is my own"", ""Because he enjoyed having visitors.""]",My own garden is my own,"""My own garden is my own said the Giant.",,,
class7-english-page-0071-short_extractive_qa-v2,short_extractive_qa,class7-english,7,71,How did the Giant react when he saw the children playing in his garden?,[],"""What are you doing here? cried the Giant in a very gruff voice.","""What are you doing here? cried the Giant in a very gruff voice. The children ran away in fear.",,,
class7-english-page-0079-short_extractive_qa-v2,short_extractive_qa,class7-english,7,79,What’s the time of Ashish Biswas’s regular practice?,[],at 7 o’clock in the morning,From Sunday to Thursday I go to the club at 7 o’clock in the morning.,,,
class7-english-page-0083-generate_mcq-v2,generate_mcq,class7-english,7,83,"According to the passage, what does Moon typically eat for breakfast?","[""Two pieces of chapati and a portion of rice."", ""Two pieces of chapati and a portion of vegetables."", ""A banana and a glass of juice."", ""Three pieces of bread and milk.""]",Two pieces of chapati and a portion of vegetables.,She eats two pieces of chapati and a portion of vegetables. Sometimes she eatsa banana and drinks a glass of milk.,,,
class7-english-page-0083-short_extractive_qa-v2,short_extractive_qa,class7-english,7,83,What time do you go to bed?,[],What time do you go to bed?,What time do you go to bed? What is your dream for the future?,,,
class7-english-page-0084-short_extractive_qa-v2,short_extractive_qa,class7-english,7,84,Which one/s are practised by women in your locality?,[],Which of the above sports are commonly practised by women in your locality?,Which of the above sports are commonly practised by women in your locality? Which ones are practised by men?,,,
class7-english-page-0089-short_extractive_qa-v2,short_extractive_qa,class7-english,7,89,How many goals did Bangladesh score against Nepal in the match?,[],scored two goals.,scored two goals. deficit k.,,,
class7-english-page-0097-generate_mcq-v2,generate_mcq,class7-english,7,97,"According to the passage, what did Paul do when he was in a rickshaw?","[""He really likes sitting idly in a rickshaw."", ""He did not dislike walking along the village roads."", ""He loves taking pictures."", ""He hates sitting idly in a rickshaw.""]",He hates sitting idly in a rickshaw.,"4 He hates sitting idly in a rickshaw. really dislikes, did not dislike, very much enjoys, __ really likes E.",,,
class7-english-page-0100-generate_mcq-v2,generate_mcq,class7-english,7,100,Q: (like) Does Mr. Jabbar like working with computers?,"[""Yes, he loves working with computers."", ""No, he hates working with computers."", ""Yes, he likes working with computers."", ""No, he does not like working with computers.""]","Yes, he loves working with computers.","A: (Yes, love) Yes, he loves working with computers. Rabiul goes shopping at the weekend.",,,
class7-english-page-0100-short_extractive_qa-v2,short_extractive_qa,class7-english,7,100,What does Paul like?,[],watching animals,Thing/activity Paul Sister making sandwiches watching animals sitting idly on grass watching others pla’ watching animals Now write sentences using the table about people in Paul’s family and your family.,,,
class7-english-page-0105-generate_mcq-v2,generate_mcq,class7-english,7,105,"According to the booklet, what are all the pictures about?","[""hot summer day"", ""temperatures being in crisis If things go on like this..."", ""the dangers caused by climate change"", ""Samina & Arif’s reaction""]",the dangers caused by climate change,All these pictures are about the dangers caused by climate change.,,,
class7-english-page-0105-short_extractive_qa-v2,short_extractive_qa,class7-english,7,105,What did Anwar plan to give Samina and Arif?,[],Anwar lam going to give you a booklet now.,Anwar lam going to give you a booklet now. Please read it and you’ll know more about climate change.,,,
class7-english-page-0111-short_extractive_qa-v2,short_extractive_qa,class7-english,7,111,What can I do to help save water at home?,[],"1 can reduce, reuse, and recycle help save water at home.","1 can reduce, reuse, and recycle help save water at home. In my garden, | should plant by walking to school and shops.",,,
