record_id,book_id,class_level,page_number,lesson_number,include_for_rag,include_for_sft,manual_review_required,candidate_text_versions,review_reasons,text_preview,source_file
class6-english-page-0002,class6-english,6,2,,False,False,False,1,FRONT_MATTER | TOO_SHORT_FOR_SFT | prescription page,"Prescribed by the National Curriculum and Textbook Board, Bangladesh as a textbook for Class Six from the academic year 2023 Revised for the year 2026",public\ocr\books\class6-english\pages\page-002.json
class6-english-page-0003,class6-english,6,3,,False,False,False,1,FRONT_MATTER | copyright page | distribution information | publication information,"69-70, Motijheel Commercial Area, Dhaka [All rights reserved by the Publisher] First edition written and edited by AMM Hamidur Rahman Zulfeqar Haider Surajit Roy Majumder First Publication: September 2012 Revised Edition: September 2014 Revised Edition: November 2020 Revised Edition: October 2025 For Free Distribution by the Government of the Peopl",public\ocr\books\class6-english\pages\page-003.json
class6-english-page-0004,class6-english,6,4,,False,False,True,1,FRONT_MATTER | OCR_REVIEW_NEEDED | acknowledgement | administrative signature | contributor listing | curriculum preface | policy preface | possible OCR spelling error,"The importance of formal education is diversified. The prime goal of modern education is not only to impart knowledge but also to build a prosperous nation by developing skilled human resources. At the same time, education is the best means of developing a society that is free from superstitions and adheres to science and facts. To stand as a devel",public\ocr\books\class6-english\pages\page-004.json
class6-english-page-0010,class6-english,6,10,,True,True,True,1,OCR_REVIEW_NEEDED | several unusually long tokens,"English For Today 5 Rahul lam happy. I just heard that my new album of Lalon's songs has been a hit! Nina Oh, great! Congratulations! Rahul Thanks, Nina. I can't tell you how happy Tam! Manzoor is a student of class six in a Sovernment high school in Rajbari. Recently there was an inter-school essay competition on the occasion of our Independence D",public\ocr\books\class6-english\pages\page-010.json
class6-english-page-0013,class6-english,6,13,5,True,True,True,2,MULTIPLE_OCR_VERSIONS,"8 English For Today A3. Look at the picture below. Talk about what things you see and what are happening. A4. Suppose, you went to one of the places listed below. Describe what you saw, what were happening and what you did there. A shopping place",public\ocr\books\class6-english\pages\page-013.json
class6-english-page-0014,class6-english,6,14,5,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 4 Where are You From? ® recognise words and stress on words in sentences © ask and answer questions It is natural that when two persons meet they would engage in a_ conversation. They may want to know where the other comes from, or what the other person does and so on. Here are some conversations in such everyday situations. class friends. M",public\ocr\books\class6-english\pages\page-014.json
class6-english-page-0015,class6-english,6,15,5,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Sometimes the same questions can be asked in a different way. Here is a conversation between an immigration officer and a passenger at the Shahjalal International Airport, Dhaka. Listen to the conversation first and then practise it with a partner. Your name, Sir? Where do you come from, Mr. Smith? And where are you coming from now? I'm coming from",public\ocr\books\class6-english\pages\page-015.json
class6-english-page-0016,class6-english,6,16,5,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 11 Joy asks Sajed do you come from, Sajed?""’ What could Joy ask him instead? Mamun and Akash are talking about Mamun's cousin Ruma. Listen to and practise the conversation in pairs. Akash What does your cousin do, Mamun? Mamun She is an architect. She mostly designs offices and shopping Akash What is she doing at Mamun Well, at th",public\ocr\books\class6-english\pages\page-016.json
class6-english-page-0017,class6-english,6,17,6,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Language Focus Notice that sometimes the answer to ""Where do you come from?"" or ""Where are you from?"" is the name of the country one belongs to. But when both the speakers are from the same country, the question would obviously mean what part of the country one belongs to. doing?” do vou do?' means the same as ‘What's your profession?’ On the other",public\ocr\books\class6-english\pages\page-017.json
class6-english-page-0018,class6-english,6,18,6,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 5 Thanks for Your Work e ask and answer questions ® participate in short dialogues and conversations on familiar topics * read and understand texts © write short paragraphs Look and say. Use suitable words from the box to describe the occupation of each person below: newspaper hawker cleaner,public\ocr\books\class6-english\pages\page-018.json
