"example_id","task","book_id","class_level","page_number","question","options","answer","evidence_quote","automatic_decision","hard_errors","warnings","human_decision","reviewer","corrected_question","corrected_output_json","notes","source_preview"
"class6-english-page-0005-generate_mcq-v2","generate_mcq","class6-english","6","5","According to the lesson list, which activity involves learning about traditional remedies?","[""Grocery Shopping"", ""Holding Hands"", ""Remedies: Modern and Traditional"", ""An Unseen Beauty of Bangladesh""]","Remedies: Modern and Traditional","17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?","REJECT","question is based on a lesson list","","REJECT","tushar","","","Source page is a lesson list, not a normal educational passage.","Lesson- | Going to a New School l Lesson- 2 Congratulations! Well Done! 4 Lesson- 3 Ata Railway Station 7 Lesson- 4 Where are You From? 9 Lesson- 5 Thanks for Your Work 13 Lesson- 6 | It Smells Good! 17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?-1 37 Lesson- 12 | AnUnseen "
"class6-english-page-0005-short_extractive_qa-v2","short_extractive_qa","class6-english","6","5","What is one of the lessons about health?","[]","Health is Wealth","17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?","PASS","","","ACCEPT","tushar","","","","Lesson- | Going to a New School l Lesson- 2 Congratulations! Well Done! 4 Lesson- 3 Ata Railway Station 7 Lesson- 4 Where are You From? 9 Lesson- 5 Thanks for Your Work 13 Lesson- 6 | It Smells Good! 17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?-1 37 Lesson- 12 | AnUnseen "
"class6-english-page-0011-short_extractive_qa-v2","short_extractive_qa","class6-english","6","11","What would you say to somebody who has been ill?","[]","I'm sorry to hear that.","Bobby Oh, I'm sorry to hear that. How do you feel now?","PASS","","","ACCEPT","tushar","","","","6 English For Today Let's now see what we say when we hear about something not good or not happy. Read the following dialogues. Bobby Hi, Sujan! Why didn’t you come to school last week? Sujan I had the flu. I was in bed most of the time. Bobby Oh, I'm sorry to hear that. How do you feel now? Shakil Hello, Manik! Why are you so quiet today? Manik Did you see that pen my father gave me? I've lost it"
"class6-english-page-0012-generate_mcq-v2","generate_mcq","class6-english","6","12","According to the text, what was the woman in the queue doing?","[""Holding her child's hand tightly"", ""Talking loudly with a group of young people"", ""Reading a magazine on a bench"", ""Trying to carry three heavy suitcases""]","Holding her child's hand tightly","She was holding her child's hand tightly.","PASS","","","ACCEPT","tushar","","","","Lesson 3) Atta Railway Station read and understand texts My friend Sajjad and I were sitting at the railway station. I came to see him off. Sajjad was going to Dhaka to his elder sister's It was very crowded in the station. There was a long line of people at the ticket counter. A woman was standing in the queue. She was holding her child's hand tightly. A group of young people was talking loudly a"
"class6-english-page-0012-short_extractive_qa-v2","short_extractive_qa","class6-english","6","12","What was Sajjad going to Dhaka to see?","[]","his elder sister's","Sajjad was going to Dhaka to his elder sister's It was very crowded in the station.","PASS","","","ACCEPT","tushar","","","","Lesson 3) Atta Railway Station read and understand texts My friend Sajjad and I were sitting at the railway station. I came to see him off. Sajjad was going to Dhaka to his elder sister's It was very crowded in the station. There was a long line of people at the ticket counter. A woman was standing in the queue. She was holding her child's hand tightly. A group of young people was talking loudly a"
"class6-english-page-0014-generate_mcq-v2","generate_mcq","class6-english","6","14","In the conversation between Akash and James, where does James say he is from?","[""America"", ""England"", ""Bangladesh"", ""Italy""]","England","James I'm from England.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 4 Where are You From? ® recognise words and stress on words in sentences © ask and answer questions It is natural that when two persons meet they would engage in a_ conversation. They may want to know where the other comes from, or what the other person does and so on. Here are some conversations in such everyday situations. class friends. Mamun and his friend Akash have gone to a book fair"
"class6-english-page-0014-short_extractive_qa-v2","short_extractive_qa","class6-english","6","14","Where is James from?","[]","I'm from England.","James I'm from England. to somebody.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 4 Where are You From? ® recognise words and stress on words in sentences © ask and answer questions It is natural that when two persons meet they would engage in a_ conversation. They may want to know where the other comes from, or what the other person does and so on. Here are some conversations in such everyday situations. class friends. Mamun and his friend Akash have gone to a book fair"
"class6-english-page-0015-generate_mcq-v2","generate_mcq","class6-english","6","15","Why did the immigration officer ask Joy ‘Where do you come from?’ a second time?","[""To check Joy’s passport."", ""Because Joy was a new student."", ""And where are you coming from now?"", ""To see if Joy remembered his name.""]","And where are you coming from now?","And where are you coming from now? I'm coming from London.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Sometimes the same questions can be asked in a different way. Here is a conversation between an immigration officer and a passenger at the Shahjalal International Airport, Dhaka. Listen to the conversation first and then practise it with a partner. Your name, Sir? Where do you come from, Mr. Smith? And where are you coming from now? I'm coming from London. Welcome to Bangladesh, Sir. Have a nice s"
"class6-english-page-0015-short_extractive_qa-v2","short_extractive_qa","class6-english","6","15","Why does the immigration officer ask the passenger 'And where are you coming from now?'","[]","the first day in the new class after the annual exam.","the first day in the new class after the annual exam. The boy sitting next to Joy is a new student.","REVIEW","","question does not end with a question mark | source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Sometimes the same questions can be asked in a different way. Here is a conversation between an immigration officer and a passenger at the Shahjalal International Airport, Dhaka. Listen to the conversation first and then practise it with a partner. Your name, Sir? Where do you come from, Mr. Smith? And where are you coming from now? I'm coming from London. Welcome to Bangladesh, Sir. Have a nice s"
"class6-english-page-0016-generate_mcq-v2","generate_mcq","class6-english","6","16","What is Mamun designing at the moment?","[""offices and shopping centres"", ""a school building on the outskirts of Dhaka"", ""a story book"", ""the Town Hall Library""]","a school building on the outskirts of Dhaka","She is designing a school building on the outskirts of Dhaka.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","English For Today 11 Joy asks Sajed do you come from, Sajed?""’ What could Joy ask him instead? Mamun and Akash are talking about Mamun's cousin Ruma. Listen to and practise the conversation in pairs. Akash What does your cousin do, Mamun? Mamun She is an architect. She mostly designs offices and shopping Akash What is she doing at Mamun Well, at the moment she is designing something different. She"
"class6-english-page-0016-short_extractive_qa-v2","short_extractive_qa","class6-english","6","16","What is she designing at the moment?","[]","She is designing a school building on the outskirts of Dhaka.","She is designing a school building on the outskirts of Dhaka. Mary and her mother are sitting in their living room.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","English For Today 11 Joy asks Sajed do you come from, Sajed?""’ What could Joy ask him instead? Mamun and Akash are talking about Mamun's cousin Ruma. Listen to and practise the conversation in pairs. Akash What does your cousin do, Mamun? Mamun She is an architect. She mostly designs offices and shopping Akash What is she doing at Mamun Well, at the moment she is designing something different. She"
"class6-english-page-0017-short_extractive_qa-v2","short_extractive_qa","class6-english","6","17","What is his/her name?","[]","Rashid Ahmed, Doctor Sumana Chowdhury, Lawyer","He is not seeing a patient) Rashid Ahmed, Doctor Sumana Chowdhury, Lawyer","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Language Focus Notice that sometimes the answer to ""Where do you come from?"" or ""Where are you from?"" is the name of the country one belongs to. But when both the speakers are from the same country, the question would obviously mean what part of the country one belongs to. doing?” do vou do?' means the same as ‘What's your profession?’ On the other hand, are you doing' refers to what you are doing"
"class6-english-page-0037-generate_mcq-v2","generate_mcq","class6-english","6","37","According to Simon, how long does he usually jog every day?","[""for half an hour"", ""every afternoon"", ""once a week"", ""pretty well""]","for half an hour","I get up early in the morning and do jogging for half an hour.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Sohan Hi, Simon! You look so fit! Do you exercise regularly? Simon Yes, I do. I'm quite.......... about fitness. Sohan So, how......... do you exercise? Simon Well, | do jogging every day in the Then I play table tennis in the afternoon. Sohan table tennis, too. Simon Oh, will you come to play.......... then? Sohan Sure. But do you play? Simon Pretty well, I guess. Sohan All right. But I'm not ver"
"class6-english-page-0037-short_extractive_qa-v2","short_extractive_qa","class6-english","6","37","How many times a week does Simon do yoga?","[]","Once a week, I do yoga.","Once a week, I do yoga. Now, write about what you usually do or would like to do to keep Write a short paragraph on the rules of good health.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Sohan Hi, Simon! You look so fit! Do you exercise regularly? Simon Yes, I do. I'm quite.......... about fitness. Sohan So, how......... do you exercise? Simon Well, | do jogging every day in the Then I play table tennis in the afternoon. Sohan table tennis, too. Simon Oh, will you come to play.......... then? Sohan Sure. But do you play? Simon Pretty well, I guess. Sohan All right. But I'm not ver"
