record_id,book_id,class_level,page_number,lesson_number,split_group,split,word_count,manual_review_required,curation_flags,text_sha256
class6-english-page-0005,class6-english,6,5,,class6-english:page-block:001,train,218,False,,dbea27ccf37671f9fea7e81e2b0aa35da1f8d132afa41daa3a846aa8a22e2cc0
class6-english-page-0006,class6-english,6,6,,class6-english:page-block:002,validation,100,False,,b9e87cfb3fc237214986a62b6b806f29c447f16ef6529aacbbaa81a7de80cea4
class6-english-page-0007,class6-english,6,7,,class6-english:page-block:002,validation,145,False,,53034f7c20ae1cb896e649644b7338d2a40d8e1b6a90e46fa5aacce8bef5b50a
class6-english-page-0008,class6-english,6,8,,class6-english:page-block:002,validation,113,False,,348e0f758ebad78c087d8be9389c4b41b8d410956f5c75d6ae21512305f36c6e
class6-english-page-0009,class6-english,6,9,,class6-english:page-block:002,validation,140,False,,5a44e3271f2896f0fb2c70be03684d5f521c990b6e8041486e034558a5163c5d
class6-english-page-0010,class6-english,6,10,,class6-english:page-block:002,validation,187,True,OCR_REVIEW_NEEDED,c44b8ddf519bf2966df26b11d5a7e9abae84df72d8f16eec900aba84bad756f1
class6-english-page-0011,class6-english,6,11,,class6-english:page-block:003,train,241,False,,7a13b1d410728187343294079ba4ee22f84213b82f96853785c767228b32afd3
class6-english-page-0012,class6-english,6,12,,class6-english:page-block:003,train,213,False,,15308b8675ced82d8f4ab3ae88e6568dac54035d102e1aa9bd8c75c50c394fad
class6-english-page-0013,class6-english,6,13,5,class6-english:lesson:005,train,46,True,MULTIPLE_OCR_VERSIONS,8570e87fe0604faff519608963a6ed8fdbda9a179f6bc2fe5d0d4ce6feb31117
class6-english-page-0014,class6-english,6,14,5,class6-english:lesson:005,train,162,True,MULTIPLE_OCR_VERSIONS,bb5c1feff417a7e41ec734451903a0b0976f8841bc960cbfc4644a4c2e391d1b
class6-english-page-0015,class6-english,6,15,5,class6-english:lesson:005,train,179,True,MULTIPLE_OCR_VERSIONS,d53377727b3af01e5df8c85aab676908b589e23ba5492148abeb9e5bb786f733
class6-english-page-0016,class6-english,6,16,5,class6-english:lesson:005,train,180,True,MULTIPLE_OCR_VERSIONS,35d88729b3d337739f1b2b04fb6b2a732bf654d0f65debf7ceca02e8cf2a6758
class6-english-page-0017,class6-english,6,17,6,class6-english:lesson:006,train,148,True,MULTIPLE_OCR_VERSIONS,a3af905eef0e80d552702f62a86676406fb467692e919232393b0929358cf5c6
class6-english-page-0018,class6-english,6,18,6,class6-english:lesson:006,train,47,True,MULTIPLE_OCR_VERSIONS,5257c31e0ad2af05b53a54d941ff2cf8cf50cb5aa42b7c47b973c5454179d9d0
class6-english-page-0019,class6-english,6,19,7,class6-english:lesson:007,train,199,True,MULTIPLE_OCR_VERSIONS,056c08bb2c584a3cfa1f4d1a8aa1d28bffdf6e11f363173d11fdd123ee54728e
class6-english-page-0020,class6-english,6,20,7,class6-english:lesson:007,train,221,True,MULTIPLE_OCR_VERSIONS,21ff90159a27359a9c8ad06810b992b1289271eae1991504ccfed2c6df2d83c4
class6-english-page-0021,class6-english,6,21,8,class6-english:lesson:008,test,149,True,MULTIPLE_OCR_VERSIONS,831e00231b392e2f1b8961b4d01b0361dbbdde2e23c7037902a20557ef3451c8
class6-english-page-0022,class6-english,6,22,8,class6-english:lesson:008,test,155,True,MULTIPLE_OCR_VERSIONS,58dc846e4389b23a20beeecb470f8c3d93c644153d638fb93e49ed864ac5c690
class6-english-page-0023,class6-english,6,23,8,class6-english:lesson:008,test,202,True,MULTIPLE_OCR_VERSIONS,0fdf31efda8a9420e5782db4bb25478771e0a79c570f28801833f3596af71b85
class6-english-page-0024,class6-english,6,24,8,class6-english:lesson:008,test,71,True,MULTIPLE_OCR_VERSIONS,b661c44026c11bba234a40827553ca2bc4cff60bdb4ca2a7bcde3533ea0f24c9
class6-english-page-0025,class6-english,6,25,8,class6-english:lesson:008,test,91,True,MULTIPLE_OCR_VERSIONS,5b9b8d4396f6d4b746c449bd6e803637f7a633d16de89b7e976cb733174acec9
class6-english-page-0026,class6-english,6,26,8,class6-english:lesson:008,test,156,True,MULTIPLE_OCR_VERSIONS,304fb102e9d335ed1572d52cbe00733508f8b379c936e7f325a47e9bb07391ca
class6-english-page-0027,class6-english,6,27,8,class6-english:lesson:008,test,98,True,MULTIPLE_OCR_VERSIONS,796aa96b51c60932296f6d0e50464cde81983b6a3124869ab960aa8656e1beac
class6-english-page-0028,class6-english,6,28,9,class6-english:lesson:009,test,183,True,MULTIPLE_OCR_VERSIONS,92dc05a8e1b05450b68b93483c5f19376d215b2a557db04445ca799b4777a111
class6-english-page-0029,class6-english,6,29,9,class6-english:lesson:009,test,110,True,MULTIPLE_OCR_VERSIONS,b811d27160faec3e9ae79b210b14bfd9deab1bef79a94706033f40df7dcb1655
class6-english-page-0030,class6-english,6,30,9,class6-english:lesson:009,test,111,True,MULTIPLE_OCR_VERSIONS,89edd8f967decaaf7d2b8e026d9abfc2272ea314d3421142aa24259436068e4a
class6-english-page-0031,class6-english,6,31,9,class6-english:lesson:009,test,150,True,MULTIPLE_OCR_VERSIONS,429ef7ff5ae94619b5efcd2c49f133f93f8a61f4f489402b51ccf1900c74e4ca
class6-english-page-0032,class6-english,6,32,9,class6-english:lesson:009,test,82,True,MULTIPLE_OCR_VERSIONS,c16412d58d5f6c79a3923b3863ffd6b9d316f30f1955f60666121d9733216e01
class6-english-page-0033,class6-english,6,33,10,class6-english:lesson:010,validation,121,True,MULTIPLE_OCR_VERSIONS,95b08577453fd72d5e1916b4ee551450ff02728e50f639c35fabe8443eb52c4f
class6-english-page-0034,class6-english,6,34,10,class6-english:lesson:010,validation,144,True,MULTIPLE_OCR_VERSIONS,4192e854f5ae78f41d1830422983a41d9dbd7e0c809b81fc0c9cfd2de2749f27
class6-english-page-0035,class6-english,6,35,10,class6-english:lesson:010,validation,157,True,MULTIPLE_OCR_VERSIONS,e6fb03d623ccd394280dc89b06dcef79b293bc22d9bd91360148f18439237f02
class6-english-page-0036,class6-english,6,36,10,class6-english:lesson:010,validation,160,True,MULTIPLE_OCR_VERSIONS,0eee83fce4a95b77b9be05070e13dd28a918accb7a565aca27fb124156c8df03
class6-english-page-0037,class6-english,6,37,11,class6-english:lesson:011,train,159,True,MULTIPLE_OCR_VERSIONS,2b6b8d7363658ba00364a6140b19e4f413c7b31b3184952ea1592f9d49214415
class6-english-page-0038,class6-english,6,38,11,class6-english:lesson:011,train,63,True,MULTIPLE_OCR_VERSIONS,b98d2394924bcd913900aeae3aa7ae6c94aa88db23d344c598bfe2380fc5f9da
class6-english-page-0039,class6-english,6,39,12,class6-english:lesson:012,test,267,True,MULTIPLE_OCR_VERSIONS,48c94eff5cd8b51cb0c772227dda8d311ab1559096aa7afa2ec58528666fd4d6
class6-english-page-0040,class6-english,6,40,12,class6-english:lesson:012,test,223,True,MULTIPLE_OCR_VERSIONS,6be411f4b91dfdba00adcc3443804c1cc05473140ab08ad940a1f62a3f25948d
class6-english-page-0041,class6-english,6,41,12,class6-english:lesson:012,test,258,True,MULTIPLE_OCR_VERSIONS,b96fdf07d517f84660b8ada799cbf4380301c8e55ec438e3a00bbbd6b50c0988
class6-english-page-0043,class6-english,6,43,13,class6-english:lesson:013,train,171,True,MULTIPLE_OCR_VERSIONS,188bec3c07aed137529fee670f2161fcc4dab35fea0b2b508e419c91fa31566d
class6-english-page-0044,class6-english,6,44,13,class6-english:lesson:013,train,213,True,MULTIPLE_OCR_VERSIONS,36741ca0c75b254a7a7ab97a9c15ef88bd36329950bde0afe38804aafdccd20f
class6-english-page-0045,class6-english,6,45,13,class6-english:lesson:013,train,215,True,MULTIPLE_OCR_VERSIONS,466b92be0ca9a40f291b10fa879389ba4e554c3b8078c47d5bea3afae5a51556
class6-english-page-0046,class6-english,6,46,14,class6-english:lesson:014,validation,170,True,MULTIPLE_OCR_VERSIONS,0978b14a3301af53de40b3d1d419aec7fa496a8e6c901a516f6741c00618dc8a
class6-english-page-0047,class6-english,6,47,14,class6-english:lesson:014,validation,177,True,MULTIPLE_OCR_VERSIONS,2de17cfbdfed003ee11bf70e7980f6c5a9359f877a4780ce0953890e093b2769
class6-english-page-0048,class6-english,6,48,14,class6-english:lesson:014,validation,185,True,MULTIPLE_OCR_VERSIONS,9d290ab7802b86a51a28b4aee3e623bfcc6b9f789b9b418563cd85d88aee938a
class6-english-page-0049,class6-english,6,49,15,class6-english:lesson:015,train,149,True,MULTIPLE_OCR_VERSIONS,7bf4b0c2e4353d7bd750c59e357f3c1585e78c0cf9d25146589016417d58a6c3
class6-english-page-0050,class6-english,6,50,15,class6-english:lesson:015,train,136,True,MULTIPLE_OCR_VERSIONS,d561705b0f5ca538c45d1ae70e862745e58375c83c072e4b9155af4e77b6aaff
class6-english-page-0051,class6-english,6,51,15,class6-english:lesson:015,train,72,True,MULTIPLE_OCR_VERSIONS,0eecf1d89f1c2ead0a1221c718c2e45e6532f5e784c23486ad605b13c058d96b
class6-english-page-0052,class6-english,6,52,16,class6-english:lesson:016,train,235,True,MULTIPLE_OCR_VERSIONS,aad44bad00242a2310b9df924f02c31bf6ac5e61bec1160e0f77b50081e75dfd
class6-english-page-0053,class6-english,6,53,17,class6-english:lesson:017,train,97,True,MULTIPLE_OCR_VERSIONS,705cdeaca53bcbb5ac6ae3a57c531d057c2f159d4b60aa8a7a60dc33ec8cc227
class6-english-page-0054,class6-english,6,54,17,class6-english:lesson:017,train,301,True,MULTIPLE_OCR_VERSIONS,8fbb8b550f8de5bcba6ef904528de1861da24f505127af00c5e1876b816595fb
class6-english-page-0055,class6-english,6,55,17,class6-english:lesson:017,train,175,True,MULTIPLE_OCR_VERSIONS,c851719a7d88b0d4728c9f85e3d6e38c40dda281b842021e18f2f9935c5e762e
class6-english-page-0056,class6-english,6,56,18,class6-english:lesson:018,train,228,True,MULTIPLE_OCR_VERSIONS,7f74338e23ad48fac8bd8880347bf5e69d0a61179658899c69dbd8c58ee809b3
class6-english-page-0057,class6-english,6,57,18,class6-english:lesson:018,train,100,True,MULTIPLE_OCR_VERSIONS,1806cff0276b8e849fa5b4461d4a1038feac2b654f2083904da20f1fd982a2d0
class6-english-page-0058,class6-english,6,58,18,class6-english:lesson:018,train,201,True,MULTIPLE_OCR_VERSIONS,ff70edf343b48d06f4a67a020f7c204aa58cae64b5e45b99455e40ccc4f30572
class6-english-page-0059,class6-english,6,59,18,class6-english:lesson:018,train,64,True,MULTIPLE_OCR_VERSIONS,533707f96dc3ac9a414e94b33372d1fbd2215ff191e11ed31fe91ed489723da2
class6-english-page-0060,class6-english,6,60,19,class6-english:lesson:019,train,91,True,MULTIPLE_OCR_VERSIONS,93293175e760be52668b6d3203a01faef0ce0db92e8b28edbe44a0b213bcf6bc
class6-english-page-0061,class6-english,6,61,20,class6-english:lesson:020,train,173,True,MULTIPLE_OCR_VERSIONS,333205b2ea5e7e8a811fc338933aec0e6948df44eaa5bf5f423c09bd59a6e703
class6-english-page-0062,class6-english,6,62,20,class6-english:lesson:020,train,117,True,MULTIPLE_OCR_VERSIONS,935b40c9982ffad580b523f4b04eded0cae19203214e197a7b13e007f86ee83f
class6-english-page-0063,class6-english,6,63,21,class6-english:lesson:021,train,169,True,MULTIPLE_OCR_VERSIONS,c3e9dc4197d45c8cbe1b3fc8a1e605e0a1d11270ef52214d2a2fbf9d5cda2a24
class6-english-page-0064,class6-english,6,64,21,class6-english:lesson:021,train,84,True,MULTIPLE_OCR_VERSIONS,8f51237429badfa3c4828a9396800d814d4acdb559293f8f78aa8b7bb14898d4
class6-english-page-0065,class6-english,6,65,22,class6-english:lesson:022,train,203,True,MULTIPLE_OCR_VERSIONS,941fb1d266302a2ef529e163d6e5113a47470120dee5aeb68e555fc193dda990
class6-english-page-0066,class6-english,6,66,22,class6-english:lesson:022,train,183,True,MULTIPLE_OCR_VERSIONS,1738de80ce5a488ce31e632a705ebe2be14d856d97eb776bf351455c448b31b3
class6-english-page-0067,class6-english,6,67,22,class6-english:lesson:022,train,168,True,MULTIPLE_OCR_VERSIONS,3888cbff13e756c40362950f5d34178ea1f790ef2798a388f2d6375f1481c0ac
class6-english-page-0068,class6-english,6,68,23,class6-english:lesson:023,train,233,True,MULTIPLE_OCR_VERSIONS,c1da04cb4b7ea31117eba8dc748faa36719709e013e95c059906028c59aaa059
class6-english-page-0069,class6-english,6,69,23,class6-english:lesson:023,train,281,True,MULTIPLE_OCR_VERSIONS,6d98b9926f1b318ba395ecd3f9bd09b878acfd3143c80edfd02485056ee8e433
class6-english-page-0070,class6-english,6,70,23,class6-english:lesson:023,train,264,True,MULTIPLE_OCR_VERSIONS,38a5d89eb5dbd4fc1400c33c4de6e1eb61c1ec37ceb9eac4f8d9dd548833586b
class6-english-page-0071,class6-english,6,71,24,class6-english:lesson:024,train,206,True,MULTIPLE_OCR_VERSIONS,7f3f406fb1d03469408cddeeac6a4238128b5a309a43cf1d7620c3f32b5499c0
class6-english-page-0072,class6-english,6,72,24,class6-english:lesson:024,train,218,True,MULTIPLE_OCR_VERSIONS,2497ab34161fbc9167022bf7a52f890f8435ff63a0c45f02a79ce3c138716aba
class6-english-page-0073,class6-english,6,73,24,class6-english:lesson:024,train,235,True,MULTIPLE_OCR_VERSIONS,73826d2e8d83e84d533ef6bd179e3198d0dd59be4206a6dca6e5085093be3fdb
class6-english-page-0074,class6-english,6,74,24,class6-english:lesson:024,train,271,True,MULTIPLE_OCR_VERSIONS,af586e1136b11ed32cad1a346458768eccbd229eba58c8493a5675b4fa98fe9d
class6-english-page-0075,class6-english,6,75,25,class6-english:lesson:025,train,180,True,MULTIPLE_OCR_VERSIONS,dc5d9b8b211e255616e1c0156072dd6853e40153983800b1b5c4a0f4d9c6ba37
class6-english-page-0076,class6-english,6,76,25,class6-english:lesson:025,train,222,True,MULTIPLE_OCR_VERSIONS,6316d7e40c125332a26cbaa18da1eb7ce01fdcaf929d25544348d357a8e539b0
class6-english-page-0077,class6-english,6,77,25,class6-english:lesson:025,train,159,True,MULTIPLE_OCR_VERSIONS,6f0309449aa3a34382aba287da1c9e82ccd3a11d8c21705fbde473401176c4e9
class6-english-page-0078,class6-english,6,78,26,class6-english:lesson:026,validation,119,True,MULTIPLE_OCR_VERSIONS,9392837acdf93ca2c5a6f409345604d7028bc3c9de261c3d91766614104592d2
