example_id,task,book_id,class_level,page_number,question,options,answer,evidence_quote,automatic_decision,hard_errors,warnings,human_decision,reviewer,corrected_question,corrected_output_json,notes,source_preview
class6-english-page-0005-generate_mcq-v2,generate_mcq,class6-english,6,5,"According to the lesson list, which activity involves learning about traditional remedies?","[""Grocery Shopping"", ""Holding Hands"", ""Remedies: Modern and Traditional"", ""An Unseen Beauty of Bangladesh""]",Remedies: Modern and Traditional,17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?,REJECT,question is based on a lesson list,,ACCEPT,tushar,,,,Lesson- | Going to a New School l Lesson- 2 Congratulations! Well Done! 4 Lesson- 3 Ata Railway Station 7 Lesson- 4 Where are You From? 9 Lesson- 5 Thanks for Your Work 13 Lesson- 6 | It Smells Good! 17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?-1 37 Lesson- 12 | AnUnseen 
class6-english-page-0005-short_extractive_qa-v2,short_extractive_qa,class6-english,6,5,What is one of the lessons about health?,[],Health is Wealth,17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?,PASS,,,ACCEPT,tushar,,,,Lesson- | Going to a New School l Lesson- 2 Congratulations! Well Done! 4 Lesson- 3 Ata Railway Station 7 Lesson- 4 Where are You From? 9 Lesson- 5 Thanks for Your Work 13 Lesson- 6 | It Smells Good! 17 Lesson- 7 Holding Hands 19 Lesson- 8 | Grocery Shopping 21 Lesson- 9 Health is Wealth 28 Lesson- 10 | Remedies: Modern and Traditional 33 Lesson- 11 | Are You Listening?-1 37 Lesson- 12 | AnUnseen 
class6-english-page-0011-short_extractive_qa-v2,short_extractive_qa,class6-english,6,11,What would you say to somebody who has been ill?,[],I'm sorry to hear that.,"Bobby Oh, I'm sorry to hear that. How do you feel now?",PASS,,,ACCEPT,tushar,,,,"6 English For Today Let's now see what we say when we hear about something not good or not happy. Read the following dialogues. Bobby Hi, Sujan! Why didn’t you come to school last week? Sujan I had the flu. I was in bed most of the time. Bobby Oh, I'm sorry to hear that. How do you feel now? Shakil Hello, Manik! Why are you so quiet today? Manik Did you see that pen my father gave me? I've lost it"
class6-english-page-0012-generate_mcq-v2,generate_mcq,class6-english,6,12,"According to the text, what was the woman in the queue doing?","[""Holding her child's hand tightly"", ""Talking loudly with a group of young people"", ""Reading a magazine on a bench"", ""Trying to carry three heavy suitcases""]",Holding her child's hand tightly,She was holding her child's hand tightly.,PASS,,,ACCEPT,tushar,,,,Lesson 3) Atta Railway Station read and understand texts My friend Sajjad and I were sitting at the railway station. I came to see him off. Sajjad was going to Dhaka to his elder sister's It was very crowded in the station. There was a long line of people at the ticket counter. A woman was standing in the queue. She was holding her child's hand tightly. A group of young people was talking loudly a
class6-english-page-0012-short_extractive_qa-v2,short_extractive_qa,class6-english,6,12,What was Sajjad going to Dhaka to see?,[],his elder sister's,Sajjad was going to Dhaka to his elder sister's It was very crowded in the station.,PASS,,,ACCEPT,tushar,,,,Lesson 3) Atta Railway Station read and understand texts My friend Sajjad and I were sitting at the railway station. I came to see him off. Sajjad was going to Dhaka to his elder sister's It was very crowded in the station. There was a long line of people at the ticket counter. A woman was standing in the queue. She was holding her child's hand tightly. A group of young people was talking loudly a
class6-english-page-0109-generate_mcq-v2,generate_mcq,class6-english,6,109,"According to the passage, what do people in villages celebrate?","[""Pahela Boishakh and Nabanna"", ""Cricket matches and picnics"", ""Birthday parties and weddings"", ""School exams and sports day""]",Pahela Boishakh and Nabanna,"e) People in villages celebrate festivals like Pahela Boishakh and Nabanna Write a summary of the passage in your own words, 10 Match the parts of sentences from the Columns A and B to make five complete sentences.",PASS,,,ACCEPT,tushar,,,,"104 English For Today There are no fruit trees in village gardens. e) People in villages celebrate festivals like Pahela Boishakh and Nabanna Write a summary of the passage in your own words, 10 Match the parts of sentences from the Columns A and B to make five complete sentences. Column A Column B (a) Food is one of the basic (i) without it (b) It is essential (ii) needs of human beings (c) We ca"
class6-english-page-0111-short_extractive_qa-v2,short_extractive_qa,class6-english,6,111,What does Bulbul do every morning to keep the area clean?,[],Bulbul wakes up early in the morning to collect rubbish from the Sankar area,Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.,PASS,,,ACCEPT,tushar,,,,Suggested Answers They put it in plastic bins and leave them in front of their houses. Bulbul was sick for two days and could not collect the rubbish. All jobs are important. The whole area became dirty and unhygienic. He knows the area will turn into a big dustbin if he stops working. Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean. The people of San
class7-english-page-0008-generate_mcq-v2,generate_mcq,class7-english,7,8,Fahim asks Tamim for his pen. What does Tamim say?,"[""Yes, of course, you can."", ""Sorry, I didn’t notice that."", ""Could you please help me with my maths?"", ""I need to read it tonight.""]","Yes, of course, you can.","Tamim: Yes, of course, you can. Here it is.",PASS,,,ACCEPT,tushar,,,,"Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can. Here it is. Radif: Could you please help me with my maths? Rahin: Sorry, | can’t. [’m not good at maths. Sister: Would you turn the television off? I'm doing my Brother: Sorry, | didn’t notice that. Please go on with you lend me your English book for a day?: Sorry, I. | need"
class7-english-page-0008-short_extractive_qa-v2,short_extractive_qa,class7-english,7,8,What does Fahim ask Tamim to do?,[],"Can I borrow your pen, please?","Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can.",PASS,,,ACCEPT,tushar,,,,"Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can. Here it is. Radif: Could you please help me with my maths? Rahin: Sorry, | can’t. [’m not good at maths. Sister: Would you turn the television off? I'm doing my Brother: Sorry, | didn’t notice that. Please go on with you lend me your English book for a day?: Sorry, I. | need"
class7-english-page-0023-generate_mcq-v2,generate_mcq,class7-english,7,23,What was the location of the prize-giving function?,"[""In the school auditorium."", ""Read out the annual report."", ""Brightly decorated."", ""At the stage.""]",In the school auditorium.,In the school auditorium. What WaS | the auditorium decorated?,PASS,,,ACCEPT,tushar,,,,18 ENGLISH FOR TODAY Match words with their meanings. Words Meanings visit + speak highly of something or somebody ceremony * extremely good eminent * go to see a person or place praise * put something in a place where you can see it easily outstanding + function displa: * people having lots of power and influence Ask and answer in pairs. Make questions and then choose answers from this table. Que
