example_id,class_level,book_id,source_chunk_ids,task_type,question,answer,options,correct_answer,passage,evidence_quote,status,human_decision,review_notes
NCTB-SFT-00001,6,class6-english,class6-english-chunk-0001;class6-english-chunk-0002,mcq,What does education help develop?,,Only knowledge | Skilled human resources | Superstitions | Scientific facts,Skilled human resources,,The prime goal of modern education is not only to impart knowledge but also to build a prosperous nation by developing skilled human resources.,candidate,,
NCTB-SFT-00002,6,class6-english,class6-english-chunk-0001;class6-english-chunk-0002,short_qa,Who has contributed to the book?,"Writers, editors, reviewers, illustrators and graphic designers.",,,,"Finally, I would like to thank all of those who have contributed to the book as writers, editors, reviewers, illustrators and graphic designers.",candidate,,
NCTB-SFT-00003,6,class6-english,class6-english-chunk-0003;class6-english-chunk-0004,passage_grounded_qa,Where does Lily go to school?,Lily goes to a school in Dhaka.,,,Lily goes to a school in Dhaka and her parents live in a small town in Tangail district. Lily is talking to her father over telephone.,Lily goes to a school in Dhaka,candidate,,
NCTB-SFT-00004,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,mcq,How many suitcases was the man carrying?,,One | Two | Three | Four,Three,,A man who was trying to carry three heavy suitcases.,candidate,,
NCTB-SFT-00005,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,short_qa,What did Shanu say to Munira?,'That’s bad luck!',,,,"Shanu Oh, that's bad luck!",candidate,,
NCTB-SFT-00006,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,short_qa,What did the young lady do while sitting on the bench?,She was reading a magazine.,,,,She was reading a magazine.,candidate,,
NCTB-SFT-00007,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,short_qa,What was happening at the ticket counter?,There was a long line of people.,,,,There was a long line of people at the ticket counter.,candidate,,
NCTB-SFT-00008,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,mcq,What were some young people doing in front of the tea stall?,,Playing football | Talking loudly and drinking tea | Reading books | Sleeping,Talking loudly and drinking tea,,A group of young people was talking loudly and drinking tea in front of a tea stall.,candidate,,
NCTB-SFT-00009,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,passage_grounded_qa,What were the friends doing?,Talking and watching the crowd around.,,,My friend and I stood near a newspaper stall talking and watching the crowd around.,My friend and I stood near a newspaper stall talking and watching the crowd around.,candidate,,
NCTB-SFT-00010,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,passage_grounded_qa,What were the old couple doing?,Trying to find a quiet place to sit down and rest.,,,An old couple was trying to find a quiet place to sit down and rest.,An old couple was trying to find a quiet place to sit down and rest.,candidate,,
